name,eci_id,const_id
Osmanabad,,2740
Latur,,2741
Solapur,,2742
Madha,,2743
Sangli,,2744
Satara,,2745
Ratnagiri - Sindhudurg,,2746
Kolhapur,,2747
Hatkanangle,,2748
Adilabad,,2801
Peddapalle,,2802
Karimnagar,,2803
Nizamabad,,2804
Zahirabad,,2805
Medak,,2806
Malkajgiri,,2807
Secunderabad,,2808
Hyderabad,,2809
CHEVELLA,,2810
Mahabubnagar,,2811
Nagarkurnool,,2812
Nalgonda,,2813
Bhongir,,2814
Warangal,,2815
Mahabubabad,,2816
Khammam,,2817
Araku,,2818
Srikakulam,,2819
Vizianagaram,,2820
Visakhapatnam,,2821
Anakapalli,,2822
Kakinada,,2823
Amalapuram,,2824
Rajahmundry,,2825
Narsapuram,,2826
Eluru,,2827
Machilipatnam,,2828
Vijayawada,,2829
Guntur,,2830
Narasaraopet,,2831
Bapatla,,2832
Ongole,,2833
Nandyal,,2834
Kurnool,,2835
Anantapur,,2836
Hindupur,,2837
Kadapa,,2838
Nellore,,2839
Tirupati,,2840
Rajampet,,2841
Chittoor,,2842
Chikodi,,2901
Belagavi,,2902
Bagalkot,,2903
Bijapur,,2904
Gulbarga,,2905
Raichur,,2906
Bidar,,2907
Koppal,,2908
Bellary,,2909
Haveri,,2910
Dharwad,,2911
Uttara Kannada,,2912
Davangere,,2913
Shimoga,,2914
Udupi Chikmagalur,,2915
Haasan,,2916
Dakshina Kannada,,2917
Chitradurga,,2918
Tumkur,,2919
Mandya,,2920
Mysore,,2921
Chamarajanagar,,2922
Bangalore Rural,,2923
Bangalore North,,2924
Bangalore central,,2925
Bangalore South,,2926
Chikballapur,,2927
Kolar,,2928
North Goa,,3001
