name,eci_id,const_id
South Goa,,3002
Lakshadweep,,3101
Kasaragod,,3201
Kannur,,3202
Vadakara,,3203
Wayanad,,3204
Kozhikode,,3205
Malappuram,,3206
Ponnani,,3207
Palakkad,,3208
Alathur,,3209
Thrissur,,3210
Chalakudy,,3211
Ernakulam,,3212
Idukki,,3213
Kottayam,,3214
Alappuzha,,3215
Mavelikara,,3216
Pathanamthitta,,3217
Kollam,,3218
Attingal,,3219
Thiruvananthapuram,,3220
Thiruvallur,,3301
Chennai North,,3302
Chennai South,,3303
Chennai central,,3304
Sriperumbudur,,3305
Kancheepuram,,3306
Arakkonam,,3307
Vellore,,3308
Krishnagiri,,3309
Dharmapuri,,3310
Tiruvannamalai,,3311
Arani,,3312
Viluppuram,,3313
Kallakurichi,,3314
Salem,,3315
Namakkal,,3316
Erode,,3317
Tiruppur,,3318
Nilgiris,,3319
Coimbatore,,3320
Pollachi,,3321
Dindigul,,3322
Karur,,3323
Tiruchirappalli,,3324
Perambalur,,3325
Cuddalore,,3326
Chidambaram,,3327
Mayiladuthurai,,3328
Nagapattinam,,3329
Thanjavur,,3330
Sivaganga,,3331
Madurai,,3332
Theni,,3333
Virudhunagar,,3334
Ramanathapuram,,3335
Thoothukudi,,3336
Tenkasi,,3337
Tirunelveli,,3338
Kanniyakumari,,3339
Puducherry,,3401
Andaman and Nicobar Islands,,3501
