name,eci_id,const_id
HOSHANGABAD,,2317
VIDISHA,,2318
BHOPAL,,2319
RAJGARH,,2320
DEWAS,,2321
UJJAIN,,2322
MANDSOUR,,2323
RATLAM,,2324
DHAR,,2325
INDORE,,2326
KHARGONE,,2327
KHANDWA,,2328
BETUL,,2329
Kachchh,,2401
Banaskantha,,2402
Patan,,2403
Mahesana,,2404
Sabarkantha,,2405
Gandhinagar,,2406
Ahmedabad East,,2407
Ahmedabad West,,2408
Surendranagar,,2409
Rajkot,,2410
Porbandar,,2411
Jamnagar,,2412
Junagadh,,2413
Amreli,,2414
Bhavnagar,,2415
Anand,,2416
Kheda,,2417
Panchmahal,,2418
Dahod,,2419
Vadodara,,2420
Chhota Udaipur,,2421
Bharuch,,2422
Bardoli,,2423
Surat,,2424
Navsari,,2425
Valsad,,2426
Daman and diu,,2501
Dadra And Nagar Haveli,,2601
Nandurbar,,2701
Dhule,,2702
Jalgaon,,2703
Raver,,2704
Buldhana,,2705
Akola,,2706
Amravati,,2707
Wardha,,2708
Ramtek,,2709
Nagpur,,2710
Bhandara Gondiya,,2711
Gadchiroli-Chimur,,2712
Chandrapur,,2713
Yavatmal-Washim,,2714
Hingoli,,2715
Nanded,,2716
Parbhani,,2717
Jalna,,2718
Aurangabad,,2719
Dindori,,2720
Nashik,,2721
Palghar,,2722
Bhiwandi,,2723
Kalyan,,2724
Thane,,2725
Mumbai North,,2726
Mumbai North West,,2727
Mumbai North East,,2728
Mumbai North central,,2729
Mumbai South central,,2730
Mumbai South,,2731
Raigad,,2732
Maval,,2733
Pune,,2734
Baramati,,2735
Shirur,,2736
Ahmednagar,,2737
Shirdi,,2738
Beed,,2739
