name,eci_id,const_id
Kishanganj,,1010
Katihar,,1011
Purnia,,1012
Madhepura,,1013
Darbhanga,,1014
Muzaffarpur,,1015
Vaishali,,1016
Gopalganj,,1017
Siwan,,1018
Maharajganj,,1019
Saran,,1020
Hajipur,,1021
Ujiarpur,,1022
Samastipur,,1023
Begusarai,,1024
Khagaria,,1025
Bhagalpur,,1026
Banka,,1027
Munger,,1028
Nalanda,,1029
Patna Sahib,,1030
Pataliputra,,1031
Arrah,,1032
Buxar,,1033
Sasaram,,1034
Karakat,,1035
Jahanabad,,1036
Aurangabad,,1037
Gaya,,1038
Nawada,,1039
Jamui,,1040
Sikkim,,1101
ARUNACHAL WEST,,1201
ARUNACHAL EAST,,1202
Nagaland,,1301
Inner manipur,,1401
Outer manipur,,1402
MIZORAM,,1501
Tripura West,,1601
Tripura East,,1602
Shillong,,1701
Tura,,1702
Karimganj,,1801
Silchar,,1802
Diphu,,1803
Dhubri,,1804
Kokrajhar,,1805
Barpeta,,1806
Guwahati,,1807
Darrang - Udalguri,,1808
Sonitpur,,1809
Nowgong,,1810
Kaziranga,,1811
Jorhat,,1812
Dibrugarh,,1813
Lakhimpur,,1814
Cooch behar,,1901
Alipurduars,,1902
Jalpaiguri,,1903
Darjeeling,,1904
Raiganj,,1905
Balurghat,,1906
Maldaha Uttar,,1907
Maldaha Dakshin,,1908
Jangipur,,1909
Baharampur,,1910
Murshidabad,,1911
Krishnanagar,,1912
Ranaghat,,1913
Bangaon,,1914
Barrackpore,,1915
Dum dum,,1916
Barasat,,1917
Basirhat,,1918
Jaynagar,,1919
Mathurapur,,1920
Diamond harbour,,1921
Jadavpur,,1922
Kolkata Dakshin,,1923
Kolkata Uttar,,1924
