name,eci_id,const_id
Meerut,,910
Baghpat,,911
Ghaziabad,,912
Gautam Buddha Nagar,,913
Bulandshahr,,914
Aligarh,,915
Hathras,,916
Mathura,,917
Agra,,918
Fatehpur Sikri,,919
Firozabad,,920
Mainpuri,,921
Etah,,922
Badaun,,923
Aonla,,924
Bareilly,,925
Pilibhit,,926
Shahjahanpur,,927
Kheri,,928
Dhaurahra,,929
Sitapur,,930
Hardoi,,931
Misrikh,,932
Unnao,,933
Mohanlalganj,,934
Lucknow,,935
Rae Bareli,,936
Amethi,,937
Sultanpur,,938
Pratapgarh,,939
Farrukhabad,,940
Etawah,,941
Kannauj,,942
Kanpur,,943
Akbarpur,,944
Jalaun,,945
Jhansi,,946
Hamirpur,,947
Banda,,948
Fatehpur,,949
Kaushambi,,950
Phulpur,,951
Allahabad,,952
Barabanki,,953
Faizabad,,954
Ambedkar Nagar,,955
Bahraich,,956
Kaiserganj,,957
Shrawasti,,958
Gonda,,959
Domariyaganj,,960
Basti,,961
Sant Kabir Nagar,,962
Maharajganj,,963
Gorakhpur,,964
Kushi Nagar,,965
Deoria,,966
Bansgaon,,967
Lalganj,,968
Azamgarh,,969
Ghosi,,970
Salempur,,971
Ballia,,972
Jaunpur,,973
Machhlishahr,,974
Ghazipur,,975
Chandauli,,976
Varanasi,,977
Bhadohi,,978
Mirzapur,,979
Robertsganj,,980
Valmiki Nagar,,1001
Paschim Champaran,,1002
Purvi Champaran,,1003
Sheohar,,1004
Sitamarhi,,1005
Madhubani,,1006
Jhanjharpur,,1007
Supaul,,1008
Araria,,1009
