cand_id,name,age,party_id,spl_attribute_id
cand108,"MEDAPATI VARAHALA REDDY",44,IND,108
cand109,"KOTAGIRI SRIDHAR",46,YSRCP,109
cand110,"CHINNAM RAMA KOTAYYA",58,BJP,110
cand111,"JETTI GURUNADHA RAO",55,INC,111
cand112,"MAGANTTI VENKATESWARA RAO BABU",59,TDP,112
cand113,"CHINA VENKATA SURYANARAYANA JOSYULA",62,PPOI,113
cand114,"PENTAPATI PULLARAO",71,JNP,114
cand115,"MATHE. BOBBY",29,RPI(A),115
cand116,"V. SIVA RAMA KRISHNA",55,JAJGP,116
cand117,"ALAGA. RAVI KUMAR",49,IND,117
cand118,"Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU)",46,IND,118
cand119,"KONAKALLA NARAYANA RAO",68,TDP,119
cand120,"GUDIVAKA RAMANJANEYULU (ANJI BABU)",35,BJP,120
cand121,"GOLLU KRISHNA",55,INC,121
cand122,"BALASHOWRY VALLABHANENI",50,YSRCP,122
cand123,"PERAM SIVA NAGESWARA RAO",51,RPI(A),123
cand124,"BANDREDDI RAMAKRISHNA",44,JNP,124
cand125,"YARLAGADDA RAMA MOHANA RAO",56,BAHUMP,125
cand126,"VALLURU VENKATESWARA RAO",66,PPOI,126
cand127,"GANDHI DHANEKULA",70,IND,127
cand128,"NADAKUDITI NAGA GAYATHRI",38,IND,128
cand129,"G. V. N. BASAVA RAO",26,IND,129
cand130,"VIJAYA LAKSHMI CHALAPAKA",39,IND,130
cand131,"KILARU DILEEP",48,BJP,131
cand132,"KESINENI SRINIVAS (NANI)",53,TDP,132
cand133,"NARAHARISETTY. NARASIMHARAO.",58,INC,133
cand134,"POTLURI.V.PRASAD ( P V P )",48,YSRCP,134
cand135,"ANDUKURI VIJAYA BHASKAR",49,IPBP,135
cand136,"DATLA LURDU MARY",43,MPP,136
cand137,"PADALA SIVA PRASAD",62,NRCP,137
cand138,"Muttamsetty Prasad babu",66,JNP,138
cand139,SEKHAR,31,PPOI,139
cand140,"Sk. Riyaz",31,IUML,140
cand141,"ANIL KUMAR MADDINENI",39,IND,141
cand142,"DHANEKULA GANDHI",70,IND,142
cand143,"NANDINI NALLAGHATLA",43,IND,143
cand144,"BOLISETTY HARI BABU",60,IND,144
cand145,"MOHAMMAD ISHAQ",47,IND,145
cand146,"Jayadev Galla",53,TDP,146
cand147,"Jayaprakash Narayana Valluru",44,BJP,147
cand148,"Modugula Venugopala Reddy",52,YSRCP,148
cand149,"Shaik Mastanvali",53,INC,149
cand150,"Araveti Hazarath Rao",68,PPOI,150
cand151,"Ullagi David Jayakumar (Dr. D J Kumar)",61,HMRD,151
cand152,"Jeldi Raja Mohan",61,AINPP,152
cand153,"Nagaraju Ekula",42,RPI(A),153
cand154,"Bonaboyina Srinivasa Rao (Bonaboyina Srinivasa Yadav)",50,JNP,154
cand155,"Mannava Hariprasad",55,CPIM,155
cand156,"Ramarao Simhadri",41,PRSHP,156
