name,party_name,status,state,constituency
SEEMA SAXENA, Bharatheeya Jawan Kisan Party, Rejected, NCT OF Delhi, East Delhi
PRAMOD KUREEL, Bahujan National Party (Ambedkar), Accepted, NCT OF Delhi, West Delhi
JITENDRA KUMAR, Independent, Rejected, Uttar Pradesh, Phulpur
NIRMAL SINGH, Independent, Accepted, Haryana, SONIPAT
SHAHAJAHAN BEGAM, Independent, Rejected, Uttar Pradesh, Bhadohi
RANG BAHADUR, Independent, Accepted, Uttar Pradesh, Machhlishahr
SANJEEV KUMAR KUNDU, Independent, Rejected, Jharkhand, Jamshedpur
RITU JAISWAL, Rashtriya Janata Dal, Accepted, Bihar, Sheohar
RAGHUMANI NAIK, Independent, Accepted, Odisha, Keonjhar
ENGINEER MAHAVIR SINGH YADAV, Independent, Accepted, Haryana, BHIWANI-MAHENDRAGARH
SUBASH MOHAPATRA, National Jan Dal, Accepted, Odisha, Sambalpur
RAMESH KUMAR, Kisan Samaj Party(S), Rejected, Uttar Pradesh, Sultanpur
BHAGWAN DASS, Bhartiya Pragatisheel Congress, Rejected, NCT OF Delhi, North-West Delhi
ASHA SINGH, Independent, Withdrawn, Bihar, Purvi Champaran
ARVIND KUMAR SHARMA, Independent, Accepted, Haryana, ROHTAK
UDIT RAJ, Indian National Congress, Accepted, NCT OF Delhi, North-West Delhi
AZAD SINGH PUNIA, Independent, Accepted, Haryana, KARNAL
PARMENDRA MANJHI, Independent, Accepted, NCT OF Delhi, North-West Delhi
BIRSABIR BASKEY, Ambedkarite Party of India, Accepted, West Bengal, Jhargram
AMIT MALIK, Independent, Accepted, Haryana, KURUKSHETRA
JAGEER SINGH, Indian National Lok Dal, Rejected, Haryana, AMBALA
ABDUL HANNAN, Parcham Party of India, Rejected, Uttar Pradesh, Domariyaganj
SANGEETA PATTANAIK, Odisha Janata Party, Accepted, Odisha, Bhubaneswar
KAMLESH, Azad Samaj Party, Accepted, Uttar Pradesh, Machhlishahr
SANJEEV KUMAR KUNDU, Independent, Rejected, Jharkhand, Jamshedpur
ASHOK MISHRA, Independent, Accepted, NCT OF Delhi, North-East Delhi
DR SUSHIL GUPTA, Aam Aadmi Party, Accepted, Haryana, KURUKSHETRA
BAM BAM MAHARAJ, Atal Janshakti Party, Rejected, NCT OF Delhi, West Delhi
MADHUSUDAN SINGH, Bahujan Samaj Party, Accepted, Bihar, Maharajganj
UMESH KUMAR SAH, Samata Party, Rejected, Bihar, Vaishali
RUDRA NARAYAN PANY, Bharatiya Janata Party, Accepted, Odisha, Dhenkanal
VINOD KUMAR GUPTA, Akhil Bhartiya Parivar Party, Accepted, NCT OF Delhi, Chandni Chowk
SHATRUDHAN THAKUR, Independent, Rejected, Bihar, Valmiki Nagar
UDIT RAJ, Indian National Congress, Accepted, NCT OF Delhi, North-West Delhi
SEEMA, Independent, Accepted, Haryana, BHIWANI-MAHENDRAGARH
ASHOK KUMAR, Independent, Accepted, Haryana, KARNAL
DHARMENDRA TIWARY, Bhartiya Jantantra Morcha, Rejected, Jharkhand, Ranchi
HARI NARAYAN RAM, Viro Ke Vir Indian Party, Accepted, Bihar, Vaishali
PRAMOD KUMAR, Independent, Accepted, Uttar Pradesh, Pratapgarh
RUSTAM, Rashtriya Jan Sahyog Party, Rejected, Uttar Pradesh, Azamgarh
SAWATANTAR SINGH CHAUHAN, Jan Shakti Dal, Accepted, Haryana, FARIDABAD
SUBASH MOHAPATRA, National Jan Dal, Accepted, Odisha, Sambalpur
SANJAY DASS, Independent, Accepted, Haryana, SONIPAT
BAGDAWAT RAM, Independent, Accepted, Haryana, SIRSA
DR SUSHIL GUPTA, Aam Aadmi Party, Accepted, Haryana, KURUKSHETRA
DR. SHYAMDHAR TIWARI, Independent, Accepted, Uttar Pradesh, Bhadohi
AMIT KUMAR, Independent, Rejected, NCT OF Delhi, New Delhi
SUBASH MOHAPATRA, National Jan Dal, Accepted, Odisha, Sambalpur
JYOTI PRAKASH (MONU), Ekam Sanatan Bharat Dal, Accepted, NCT OF Delhi, East Delhi
SANDEEP LOT VALMIKI, Indian National Lok Dal, Accepted, Haryana, SIRSA
SUNIL BAISOYA, Independent, Rejected, NCT OF Delhi, New Delhi
VINOD KUMAR ANAND, Independent, Rejected, NCT OF Delhi, New Delhi
HARI NARAYAN RAM, Viro Ke Vir Indian Party, Rejected, Bihar, Vaishali
GOPAL MONDAL, Independent, Accepted, West Bengal, Ghatal
RANDHIR SINGH, Independent, Accepted, Haryana, HISAR
NEERAJ JATAV, Independent, Accepted, Haryana, FARIDABAD
SUBASH MOHAPATRA, National Jan Dal, Accepted, Odisha, Sambalpur
DR. SHYAMDHAR TIWARI, Independent, Accepted, Uttar Pradesh, Bhadohi
BRIJ MOHAN GUPTA, Independent, Rejected, NCT OF Delhi, West Delhi
VIKAS KUMAR, Yuga Thulasi Party, Rejected, Uttar Pradesh, Phulpur
MR JAGDEESH PRASAD, Samarth Bharatvarsh Party, Rejected, NCT OF Delhi, East Delhi
JANARDAN SINGH SIGRIWAL, Bharatiya Janata Party, Accepted, Bihar, Maharajganj
ASHRAF HUSAIN SHAH, Independent, Rejected, Uttar Pradesh, Shrawasti
SAROJ KUMAR RAY, Independent, Accepted, NCT OF Delhi, North-East Delhi
SURJIT KUMAR, Bahujan Samaj Party, Rejected, Haryana, SIRSA
COMRADE RAMESH KHATKAR, Independent, Accepted, Haryana, KURUKSHETRA
SURENDER, Aam Aadmi Parivartan Party, Accepted, Haryana, ROHTAK
BIRANCHI NARAYAN MOHARANA, Independent, Withdrawn, Odisha, Cuttack
LEENA KOHLI, Independent, Accepted, Haryana, KARNAL
UDAYRAJ VERMA, Independent, Accepted, Uttar Pradesh, Sultanpur
AHMAD JIYA KHAN, Peace Party, Accepted, Uttar Pradesh, Shrawasti
RAJESH SINGH, Independent, Accepted, Bihar, Purvi Champaran
BINOD BIHARI NAIK, Indian National Congress, Accepted, Odisha, Keonjhar
RAHUL CHOUHAN, Independent, Accepted, Haryana, SIRSA
DR PARTHA SARATHI MAJI, Aam Aadmi Party, Rejected, West Bengal, Tamluk
UDIT RAJ, Indian National Congress, Accepted, NCT OF Delhi, North-West Delhi
SURYA PRAKASH VISHWAKARMA, Independent, Rejected, Uttar Pradesh, Pratapgarh
UMESH KUMAR SAH, Samata Party, Rejected, Bihar, Vaishali
SASHMITA BEHERA, Indian National Congress, Accepted, Odisha, Dhenkanal
KULBIR SINGH, Independent, Withdrawn, Haryana, AMBALA
OMAPRAKASH, Samaj Vikas Kranti Party, Accepted, NCT OF Delhi, South Delhi
BIRPAL SINGH KOLI, Independent, Accepted, NCT OF Delhi, North-East Delhi
PRAMOD KUMAR, Independent, Accepted, Bihar, Siwan
SANJAY KUMAR SAHOO, Independent, Rejected, Odisha, Bhubaneswar
HIRA LAL SANKHAWAR, Independent, Rejected, Jharkhand, Dhanbad
UMESH KUMAR SAH, Samata Party, Rejected, Bihar, Vaishali
SASHMITA BEHERA, Indian National Congress, Accepted, Odisha, Dhenkanal
VISHAKHA, Bahujan Samaj Party, Accepted, NCT OF Delhi, West Delhi
UMESH KUMAR SAH, Samata Party, Rejected, Bihar, Vaishali
NIVEDITA SHARMA “PREM”, Rashtrawadi Janlok Party (Satya), Accepted, NCT OF Delhi, North-East Delhi
HIRA LAL SANKHAWAR, Independent, Rejected, Jharkhand, Dhanbad
ANUSHUMAN ANAND, Independent, Withdrawn, Bihar, Sheohar
DHARMU TUDU, Ambedkarite Party of India, Accepted, Jharkhand, Jamshedpur
SUNIL KUMAR, Indian National Lok Dal, Rejected, Haryana, SIRSA
AKBAR KHAN, Loktantrik Jan Swaraj Party, Rejected, Bihar, Valmiki Nagar
AMIT GUPTA, Independent, Accepted, NCT OF Delhi, East Delhi
RAJENDER SOOD, Aam Janshakti Party, Accepted, NCT OF Delhi, North-West Delhi
SRIRAM PANDEY, Independent, Accepted, Odisha, Sambalpur
YOGESH SWAMY, Independent, Accepted, NCT OF Delhi, North-East Delhi
RAJIB TIWARI, Socialist Unity Centre Of India (COMMUNIST), Accepted, Jharkhand, Dhanbad
VIJAY BAUDDH, Bahujan Samaj Party, Rejected, NCT OF Delhi, North-West Delhi
KIRAN DEVI, Independent, Accepted, Uttar Pradesh, Domariyaganj
MAHESWAR SAHOO, Independent, Accepted, Odisha, Dhenkanal
CHANDRA PRAKASH CHOUDHARY, AJSU Party, Accepted, Jharkhand, Giridih
NAINA SINGH CHAUTALA, Jannayak Janta Party, Accepted, Haryana, HISAR
SOMA SINGH, Jai Maha Bharath Party, Accepted, Jharkhand, Ranchi
MEERA, Lok Jan Samaj Party (Bharat), Rejected, Uttar Pradesh, Lalganj
NAGENDRA KUMAR PRADHAN, Indian National Congress, Accepted, Odisha, Sambalpur
SOMA SINGH, Jai Maha Bharath Party, Accepted, Jharkhand, Ranchi
RAUSHAN KUMAR SRIVASTAVA, Independent, Accepted, Bihar, Paschim Champaran
SEWA SINGH, Independent, Accepted, Haryana, KURUKSHETRA
DR. RAJESH KUMAR SINGH, Independent, Accepted, NCT OF Delhi, North-East Delhi
CHANDRA PRAKASH CHOUDHARY, AJSU Party, Accepted, Jharkhand, Giridih
RAJENDRA PRASAD, Rashtra Uday Party, Accepted, Uttar Pradesh, Machhlishahr
ARUN MAHATO, Independent, Accepted, Jharkhand, Jamshedpur
SHIV KANYA KUSHWAHA, Samajwadi Party, Rejected, Uttar Pradesh, Jaunpur
NAGENDRA KUMAR PRADHAN, Indian National Congress, Accepted, Odisha, Sambalpur
JAI PARKASH (J P) S/O HARIKESH, Indian National Congress, Accepted, Haryana, HISAR
SHALINI ASTHANA, Bhartiya Sarvdharm Party, Rejected, Uttar Pradesh, Lucknow
DR NEERAJ, Independent, Accepted, Uttar Pradesh, Phulpur
YOGESH SHARMA, Independent, Accepted, Haryana, ROHTAK
CHANDRA PRAKASH CHOUDHARY, AJSU Party, Accepted, Jharkhand, Giridih
GAUBHAGAT SUMIT LATHER, Independent, Accepted, Haryana, SONIPAT
LAMBODAR NAIK, Independent, Accepted, Odisha, Keonjhar
BAL MUKUND, Independent, Rejected, Uttar Pradesh, Shrawasti
DR NEERAJ, Independent, Accepted, Uttar Pradesh, Phulpur
ASHOK KUMAR, Bahujan Samaj Party, Accepted, NCT OF Delhi, North-East Delhi
LALU PRASAD YADAV, Rashtriya Jansambhavna Party, Withdrawn, Bihar, Maharajganj
NAINA SINGH CHAUTALA, Jannayak Janta Party, Withdrawn, Haryana, HISAR
MAHENDRA NATH YADAV, Moolniwasi Samaj Party, Accepted, Uttar Pradesh, Azamgarh
SHIV KANYA KUSHWAHA, Samajwadi Party, Rejected, Uttar Pradesh, Jaunpur
GEETA, Independent, Withdrawn, NCT OF Delhi, North-West Delhi
JAYRAJ GAUTAM, Independent, Rejected, Uttar Pradesh, Sultanpur
MOHAMMAD FAISHAL KHAN, Independent, Accepted, Jharkhand, Dhanbad
SAHEB CHOWDHURY, Independent, Accepted, West Bengal, Ghatal
ARVIND, Independent, Accepted, Haryana, ROHTAK
BABU SINGH KUSHWAHA, Samajwadi Party, Accepted, Uttar Pradesh, Jaunpur
SHIV RAM SHARMA, Moulik Adhikar Party, Rejected, Uttar Pradesh, Pratapgarh
AMIT KUMAR SHARMA, Sanjhi Virasat Party, Rejected, NCT OF Delhi, North-East Delhi
CHANDRA PRAKASH CHOUDHARY, AJSU Party, Accepted, Jharkhand, Giridih
RAJINDER KUMAR, Independent, Rejected, Haryana, KARNAL
LALTI DEVI, Bhartiya Republican Party (Insan), Rejected, Uttar Pradesh, Bhadohi
BABU SINGH KUSHWAHA, Samajwadi Party, Accepted, Uttar Pradesh, Jaunpur
KUMARI GEETA GAUTAM, Rashtriya Janta Party, Accepted, Uttar Pradesh, Shrawasti
SUBHASH, Asankhya Samaj Party, Accepted, NCT OF Delhi, North-West Delhi
MOHAMMAD FAISHAL KHAN, Independent, Accepted, Jharkhand, Dhanbad
AMAN KUMAR, Independent, Rejected, Bihar, Purvi Champaran
E LAXIMINARAYANA, Bhartiya Janta Dal, Rejected, NCT OF Delhi, East Delhi
YASHWANT KUMAR GUPTA, Gandhiyan Peoples Party, Rejected, Uttar Pradesh, Jaunpur
ADITI, Independent, Accepted, NCT OF Delhi, North-West Delhi
YASHASWINI SAHAY, Indian National Congress, Accepted, Jharkhand, Ranchi
RAKESH, Rashtravadi Janata Party, Rejected, NCT OF Delhi, New Delhi
ADHIKARI SOUMENDU, Bharatiya Janata Party, Accepted, West Bengal, Kanthi
AJAY TIWARI, Right to Recall Party, Accepted, NCT OF Delhi, North-East Delhi
RANDHEER SINGH ALIAS DHEERU KHATANA, Akhil Bhartiya Kisan Majdoor Party, Accepted, Haryana, FARIDABAD
BRIJESH KUMAR SAROJ, Prabuddhwadi Bahujan Morcha, Accepted, Uttar Pradesh, Machhlishahr
YASHASWINI SAHAY, Indian National Congress, Accepted, Jharkhand, Ranchi
GOKULANANDA MISHRA, Independent, Accepted, Odisha, Cuttack
TIRTH BABU, Rashtriya Manav Party, Rejected, NCT OF Delhi, New Delhi
BISHWANATH MAHATO, Independent, Accepted, Jharkhand, Jamshedpur
ARUN KUMAR PANDEY, Hindustan Samaj Party, Accepted, Uttar Pradesh, Pratapgarh
PALA RAM SAINI, Jannayak Janta Party, Accepted, Haryana, KURUKSHETRA
KHILKHILAKAR, Bahujan Shoshit Samaj Sangharsh Samta Party, Rejected, NCT OF Delhi, North-West Delhi
KAMAL KUMAR BARARA, Aazad Samaj Party (Kanshi Ram), Accepted, Haryana, AMBALA
SURAJ KUMAR, Independent, Rejected, Uttar Pradesh, Phulpur
YASHASWINI SAHAY, Indian National Congress, Accepted, Jharkhand, Ranchi
MOHAN SINGH, Bahujan Samaj Party, Accepted, Jharkhand, Dhanbad
PRIYABRATA GARNAIK, Independent, Accepted, Odisha, Dhenkanal
PANCHU PASWAN, Bajjikanchal Vikas Party, Rejected, Bihar, Vaishali
MAMTA KUMARI, Samata Party, Accepted, Bihar, Sheohar
YASHASWINI SAHAY, Indian National Congress, Accepted, Jharkhand, Ranchi
ASHIVANI KUMAR, Independent, Rejected, Uttar Pradesh, Jaunpur
MOHAMMAD MAHTAB ALAM, Samaj Shakti Party, Accepted, Bihar, Sheohar
BISHWANATH MAHATO, Independent, Rejected, Jharkhand, Jamshedpur
SHAKILA HUSSAIN, Loktantrik Janshakti Party, Accepted, Haryana, FARIDABAD
E LAXIMINARAYANA, Bhartiya Janta Dal, Rejected, NCT OF Delhi, East Delhi
ANUPAMA SINGH, Indian National Congress, Accepted, Jharkhand, Dhanbad
ATMA RAM SUPKAR, Independent, Accepted, Odisha, Sambalpur
RAM NARAYAN MOHANTY, Independent, Accepted, NCT OF Delhi, West Delhi
LAL CHAND, Independent, Rejected, Haryana, BHIWANI-MAHENDRAGARH
DHARMENDRA YADAV, Samajwadi Party, Accepted, Uttar Pradesh, Azamgarh
RAMSINGH CHAUHAN, Independent, Rejected, Uttar Pradesh, Azamgarh
MD. KALAM SAI, Independent, Accepted, Bihar, Paschim Champaran
DR MAHESH CHAND GAUR, Independent, Accepted, Haryana, KURUKSHETRA
RAM PRAKASH MISHRA, Rashtriya Samaj Paksha, Rejected, Uttar Pradesh, Bhadohi
AJ RAJAN, Navarang Congress Party, Accepted, NCT OF Delhi, West Delhi
MANOJ KUMAR, Janata Congress, Rejected, Uttar Pradesh, Machhlishahr
DURGA LAL MURMU, Independent, Rejected, Jharkhand, Jamshedpur
AMIT, Independent, Rejected, Uttar Pradesh, Jaunpur
UTTAM BARIK SON OF LATE NARAYAN BARIK, Independent, Accepted, West Bengal, Kanthi
SATISH KUMAR, Independent, Accepted, Haryana, ROHTAK
MOHAMMAD TAFAZUL HUSSAIN, Independent, Accepted, Jharkhand, Dhanbad
SHIV RAM SHARMA, Moulik Adhikar Party, Accepted, Uttar Pradesh, Pratapgarh
SHYAM  BIHARI PRAJAPATI, Bhagidari Party(P), Accepted, Jharkhand, Ranchi
SHYAM SINGH YADAV, Bahujan Samaj Party, Accepted, Uttar Pradesh, Jaunpur
NARENDER SAROHA, Independent, Rejected, Haryana, KARNAL
SANJAY SETH, Bharatiya Janata Party, Accepted, Jharkhand, Ranchi
AMIT GOYAL, Sarv Samaj Party, Rejected, NCT OF Delhi, North-East Delhi
HARISH KUMAR VERMA, Watan Janta Party, Rejected, Uttar Pradesh, Phulpur
RAMHARI GOPE, Ambedkarite Party of India, Accepted, Jharkhand, Ranchi
SOMA, Rashtriya Mazdoor Ekta Party, Rejected, Haryana, SIRSA
IRSHAD AHMAD, Independent, Rejected, Uttar Pradesh, Domariyaganj
SURENDRA SINGH BASOYA, Peoples Party of India (Democratic), Accepted, NCT OF Delhi, East Delhi
RAHUL YADAV FAZILPURIA, Jannayak Janta Party, Accepted, Haryana, GURGAON
CHANDRA PRAKASH DIVEDI, Independent, Rejected, Uttar Pradesh, Shrawasti
RAJKUMAR VERMA, Independent, Rejected, Uttar Pradesh, Sultanpur
GNYANENDRA BEHERA, Independent, Accepted, Odisha, Sambalpur
SUSHEEL KUMAR UPADHYAY, Independent, Rejected, Uttar Pradesh, Azamgarh
DINANATH MANJHI, All India Majlis-E-Ittehadul Muslimeen, Accepted, Bihar, Gopalganj
GYANTI DEVI, Prabuddha Republican Party, Accepted, Bihar, Purvi Champaran
MOHD. WAQAR CHOUDHARY, Bahujan Samaj Party, Accepted, NCT OF Delhi, East Delhi
KUNAL SIKAND, Independent, Rejected, Bihar, Vaishali
VIRENDER, Independent, Accepted, NCT OF Delhi, South Delhi
DURGA LAL MURMU, Independent, Rejected, Jharkhand, Jamshedpur
JAGDISH, Independent, Accepted, Haryana, BHIWANI-MAHENDRAGARH
SAIRA, Rashtriya Manav Party, Rejected, NCT OF Delhi, Chandni Chowk
DURGA LAL MURMU, Independent, Rejected, Jharkhand, Jamshedpur
MD NAZIR, Aman Samaj Party, Accepted, NCT OF Delhi, Chandni Chowk
HARJEET SINGH VIRK, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Haryana, KARNAL
MOHD. WAQAR CHOUDHARY, Bahujan Samaj Party, Accepted, NCT OF Delhi, East Delhi
UPENDRA RAM, Bahujan Samaj Party, Accepted, Bihar, Paschim Champaran
ARJUN KUMAR MAITY, Independent, Accepted, West Bengal, Kanthi
AKSHAT GAIT, Independent, Accepted, Haryana, GURGAON
RAAJ KUMAR ANAND, Bahujan Samaj Party, Accepted, NCT OF Delhi, New Delhi
BINOD ORAON, Bahujan Mukti Party, Accepted, Jharkhand, Ranchi
SUJEET KUMAR RAM, Bahujan Samaj Party, Accepted, Bihar, Gopalganj
SANDEEP HOODA, Jannayak Janta Party, Rejected, Haryana, ROHTAK
AKSHAT GAIT, Independent, Accepted, Haryana, GURGAON
UDRAJ VERMA, Bahujan Samaj Party, Accepted, Uttar Pradesh, Sultanpur
MANOJ KUMAR, Bahujan Samaj Party, Accepted, Jharkhand, Ranchi
PANDIT SUMIT KUMAR SHARMA, AARAKSHAN VIRODHI PARTY, Accepted, Haryana, FARIDABAD
RAM GOPAL, Haryana Jansena Party, Accepted, NCT OF Delhi, South Delhi
KARAN KUMAR SHUKLA, Independent, Rejected, Uttar Pradesh, Bhadohi
RAFIK, Independent, Rejected, Uttar Pradesh, Domariyaganj
OM PRAKASH SEETA RAM YADAV, Independent, Rejected, Uttar Pradesh, Azamgarh
SHYAM SINGH YADAV, Bahujan Samaj Party, Accepted, Uttar Pradesh, Jaunpur
ARVIND KUMAR SUMAN, Independent, Rejected, Bihar, Vaishali
HARINATH SAHU, Lokhit Adhikar Party, Accepted, Jharkhand, Ranchi
KALAWATI DEVI, Independent, Accepted, Jharkhand, Giridih
BIDYUT BARAN MAHATO, Bharatiya Janata Party, Accepted, Jharkhand, Jamshedpur
ARUN KUMAR, Independent, Rejected, Uttar Pradesh, Basti
MANOJ KUMAR SHARMA, Loktantrik Janshakti Party, Accepted, NCT OF Delhi, New Delhi
MISTRI DAULAT RAM ROLAN, Peoples Party of India (Democratic), Accepted, Haryana, SIRSA
BINOD BIHARI NAIK, Indian National Congress, Accepted, Odisha, Keonjhar
DAYASHANKAR MISHRA, Bahujan Samaj Party, Rejected, Uttar Pradesh, Basti
AWADHESH KUMAR SINGH, Shane Hind Fourm, Rejected, NCT OF Delhi, South Delhi
DAYASHANKAR MISHRA, Bahujan Samaj Party, Rejected, Uttar Pradesh, Basti
JITENDRA SINGH, Independent, Accepted, Jharkhand, Jamshedpur
KALAWATI DEVI, Independent, Accepted, Jharkhand, Giridih
JOHN MIRAN MUNDA, Independent, Accepted, Odisha, Keonjhar
KRISHNA CHANDRA SINGH RAJ, Samata Party, Accepted, Jharkhand, Dhanbad
ANIL KUMAR CHAUHAN, Aam Janta Party (Socialist), Rejected, Uttar Pradesh, Azamgarh
KALAWATI DEVI, Independent, Accepted, Jharkhand, Giridih
PRAVIN KUMAR NISHAD, Bharatiya Janata Party, Accepted, Uttar Pradesh, Sant Kabir Nagar
SUBHASH, Azad Samaj Party, Rejected, Uttar Pradesh, Lalganj
PRAVIN KUMAR NISHAD, Bharatiya Janata Party, Accepted, Uttar Pradesh, Sant Kabir Nagar
KRISHNA CHANDRA SINGH RAJ, Samata Party, Accepted, Jharkhand, Dhanbad
PRAVIN KUMAR NISHAD, Bharatiya Janata Party, Accepted, Uttar Pradesh, Sant Kabir Nagar
SUJEET KUMAR RAM, Bahujan Samaj Party, Accepted, Bihar, Gopalganj
PARWATI KISKU, Independent, Accepted, Jharkhand, Jamshedpur
SATISH KUMAR, Ekam Sanatan Bharat Dal, Accepted, Haryana, ROHTAK
DEEPAK KAPILA, Independent, Accepted, NCT OF Delhi, South Delhi
PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN, Vikassheel Insaan Party, Accepted, Bihar, Gopalganj
SADHU CHARAN PAUL, Independent, Accepted, Jharkhand, Jamshedpur
ADVOCATE DR. MAHENDER   SINGH CHURIYANA, Bahujan Dravida Party, Accepted, NCT OF Delhi, North-West Delhi
ANAND KUMAR GAUTAM, Independent, Accepted, Uttar Pradesh, Sant Kabir Nagar
NAVEEN KUMAR COMMANDO, Independent, Accepted, Haryana, SIRSA
SUKUMAR SOREN, Bharat Adivasi Party, Accepted, Jharkhand, Jamshedpur
VINOD KUMAR GUPTA, Akhil Bhartiya Parivar Party, Accepted, NCT OF Delhi, Chandni Chowk
BIRENDER KUMAR DUBBEY, Atal Janshakti Party, Rejected, NCT OF Delhi, New Delhi
ADITI, Independent, Accepted, NCT OF Delhi, North-West Delhi
SUKUMAR SOREN, Bharat Adivasi Party, Accepted, Jharkhand, Jamshedpur
BHARAT BHUSHAN KOLI, Rashtra Nirman Party, Accepted, Haryana, FARIDABAD
PREM SINGH, Navarang Congress Party, Accepted, NCT OF Delhi, New Delhi
GANGADEEN, Communist Party of India, Accepted, Uttar Pradesh, Lalganj
HARISHCHAND, Independent, Rejected, Uttar Pradesh, Sant Kabir Nagar
SADANAND RANBIDA, Bahujan Samaj Party, Accepted, Odisha, Sambalpur
HARISHCHAND, Independent, Rejected, Uttar Pradesh, Sant Kabir Nagar
LALITESHPATI TRIPATHI, All India Trinamool Congress, Accepted, Uttar Pradesh, Bhadohi
SOMNATH BHARTI, Aam Aadmi Party, Accepted, NCT OF Delhi, New Delhi
FEKAN RAJAK, Independent, Rejected, NCT OF Delhi, West Delhi
SOMNATH BHARTI, Aam Aadmi Party, Accepted, NCT OF Delhi, New Delhi
LILU RAM ASAKHERA, Bahujan Samaj Party, Accepted, Haryana, SIRSA
SOMNATH BHARTI, Aam Aadmi Party, Accepted, NCT OF Delhi, New Delhi
PRAMOD KUMAR MALLICK, Bahujan Samaj Party, Rejected, Odisha, Cuttack
ARVIND, Independent, Rejected, Uttar Pradesh, Sant Kabir Nagar
SUJEET KUMAR, Independent, Rejected, Bihar, Sheohar
ARVIND, Independent, Rejected, Uttar Pradesh, Sant Kabir Nagar
DEVKANT MISHRA, Independent, Accepted, Bihar, Siwan
SANJAY PATHELA, Aam Aadmi Party, Rejected, NCT OF Delhi, New Delhi
ANJAN (BABALU) MANDAL, Bahujan Samaj Party, Accepted, West Bengal, Medinipur
SANJAY PATHELA, Aam Aadmi Party, Rejected, NCT OF Delhi, New Delhi
LOVELY ANAND, Janata Dal  (United), Accepted, Bihar, Sheohar
DHEERAJ SRIVASTAV, Pragatisheel Samaj Party, Accepted, Uttar Pradesh, Sant Kabir Nagar
NARAYAN GIRI, Independent, Rejected, Jharkhand, Dhanbad
DHEERAJ SRIVASTAV, Pragatisheel Samaj Party, Accepted, Uttar Pradesh, Sant Kabir Nagar
LOVELY ANAND, Janata Dal  (United), Accepted, Bihar, Sheohar
AVDHESH KUMAR, Al-Hind Party, Rejected, Uttar Pradesh, Sant Kabir Nagar
CHAMAN LAL VERMA, Samaj Vikas Kranti Party, Accepted, NCT OF Delhi, West Delhi
DR. RAJESH KUMAR SINGH, Independent, Accepted, NCT OF Delhi, North-East Delhi
BHUPENDER SINGH MALIK, Jannayak Janta Party, Accepted, Haryana, SONIPAT
MUKESH SHARMA, Independent, Rejected, NCT OF Delhi, North-East Delhi
LALITESHPATI TRIPATHI, All India Trinamool Congress, Accepted, Uttar Pradesh, Bhadohi
MANOJ TIWARI, Bharatiya Janata Party, Accepted, NCT OF Delhi, North-East Delhi
SANDEEP LOT VALMIKI, Indian National Lok Dal, Accepted, Haryana, SIRSA
RAJENDRA YADAV URF COLONEL SAHAB, Sarvjan Awaz Party, Accepted, Uttar Pradesh, Sant Kabir Nagar
CHARANJEET SINGH, All India Forward Bloc, Accepted, NCT OF Delhi, West Delhi
RAJENDRA YADAV URF COLONEL SAHAB, Sarvjan Awaz Party, Accepted, Uttar Pradesh, Sant Kabir Nagar
SONU SINGH, Chhatrapati Shivaji Bhartiya Garib Party, Rejected, Uttar Pradesh, Jaunpur
RAJESH GABA, Rashtriya Janshakti Party (Secular), Rejected, NCT OF Delhi, North-East Delhi
MOHAMMAD MAHTAB ALAM, Samaj Shakti Party, Rejected, Bihar, Sheohar
RAJENDRA YADAV URF COLONEL SAHAB, Sarvjan Awaz Party, Accepted, Uttar Pradesh, Sant Kabir Nagar
PERWEZ NEYYAR, Aazad Samaj Party (Kanshi Ram), Accepted, Jharkhand, Dhanbad
RAJENDRA YADAV URF COLONEL SAHAB, Sarvjan Awaz Party, Accepted, Uttar Pradesh, Sant Kabir Nagar
MAHESH KUMAR DENWAL, Ambedkarite Party of India, Accepted, NCT OF Delhi, New Delhi
YOGESH SWAMY, Independent, Rejected, NCT OF Delhi, North-East Delhi
PERWEZ NEYYAR, Aazad Samaj Party (Kanshi Ram), Accepted, Jharkhand, Dhanbad
RAJBIR, Independent, Rejected, NCT OF Delhi, North-East Delhi
GIRRAJ, Independent, Accepted, Haryana, FARIDABAD
ASHOK KUMAR, Bahujan Samaj Party, Accepted, NCT OF Delhi, North-East Delhi
URMILA, Samaj Parivartan Party, Accepted, Uttar Pradesh, Machhlishahr
NARESH CHAND SHARMA, Jagrook Janta Party, Rejected, NCT OF Delhi, North-East Delhi
JOGINDER RAM, Independent, Accepted, Haryana, SIRSA
AKESHAN DUT, Independent, Accepted, NCT OF Delhi, North-East Delhi
SUDHANSU SEKHAR DAS, Independent, Accepted, Odisha, Bhubaneswar
PRAWEEN KACHHAP, Sampoorna Bharat Kranti Party, Accepted, Jharkhand, Ranchi
JITENDRA RAM, Bahujan Mukti Party, Accepted, Bihar, Gopalganj
ASHWINI KUMAR, Independent, Rejected, Uttar Pradesh, Sant Kabir Nagar
SATYA PRAKASH UTTRAKHANDI, Independent, Accepted, NCT OF Delhi, North-West Delhi
NIVEDITA SHARMA “PREM”, Rashtrawadi Janlok Party (Satya), Accepted, NCT OF Delhi, North-East Delhi
