name,party_name,status,state,constituency
SANJAY KUMAR RANA, Independent, Rejected, Himachal Pradesh, KANGRA
NILESH KUMAR GUPTA, Independent, Applied, Jharkhand, Godda
GURMEET SINGH, Aam Aadmi Party, Accepted, Punjab, Bathinda
DHANJAY KUMAR, Rashtriya Jansambhavna Party, Accepted, Bihar, Patna Sahib
NILESH KUMAR GUPTA, Independent, Applied, Jharkhand, Godda
DAVINDER SINGH, Independent, Rejected, Punjab, Anandpur Sahib
LATA DEVI, Bharatiya Janata Party, Rejected, Punjab, Fatehgarh Sahib
CHITTARANJAN SADANGI, Independent, Applied, Odisha, Balasore
BALJIT SINGH, Independent, Accepted, Punjab, Ludhiana
PAUL SOREN, All India Majlis-E-Ittehadul Muslimeen, Accepted, Jharkhand, Rajmahal
VED PAL SHASTRI, Vanchitsamaj Insaaf Party, Rejected, Uttar Pradesh, Varanasi
JASWANT RAI RAJORA, Independent, Accepted, Punjab, Faridkot
PAUL SOREN, All India Majlis-E-Ittehadul Muslimeen, Accepted, Jharkhand, Rajmahal
PRAMOD KUMAR PATTAYAT, Independent, Applied, Odisha, Balasore
SUDHIR KUMAR, Independent, Rejected, Bihar, Arrah
KAMAL PAWAR, Independent, Accepted, Punjab, Ludhiana
CHANDRIKA PRASAD, Independent, Accepted, Uttar Pradesh, Robertsganj
GURMEET SINGH, Aam Aadmi Party, Accepted, Punjab, Bathinda
SURENDRA KUMAR KABRA, Independent, Accepted, West Bengal, Kolkata Uttar
MANAS KUMAR DAS, Samruddha Odisha, Applied, Odisha, Balasore
KISLAY KUMAR, Independent, Accepted, Bihar, Nalanda
SRIRAM PANDEY, Independent, Accepted, Odisha, Kendrapara
RAMKRISHNA, Bahujan Mukti Party, Applied, Uttar Pradesh, Mirzapur
NIRMALJIT KAUR, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Gurdaspur
AKHILESH, Independent, Rejected, Uttar Pradesh, Maharajganj
YOGESH KUMAR SHARMA, Independent, Rejected, Uttar Pradesh, Varanasi
DAVINDER KUMAR, Samaj Bhalai Morcha, Accepted, Punjab, Hoshiarpur
PRAGYESH KUMAR, Independent, Accepted, Uttar Pradesh, Ghosi
ARUN MARIK, Independent, Applied, Jharkhand, Godda
RANDHIR SINGH SIDHU, Aam Aadmi Party, Rejected, Punjab, Bathinda
ARUN MARIK, Independent, Applied, Jharkhand, Godda
RANDHIR SINGH SIDHU, Aam Aadmi Party, Rejected, Punjab, Bathinda
SATNAM SINGH, Independent, Rejected, Chandigarh, Chandigarh
RADHIKA SINGH, Independent, Rejected, Uttar Pradesh, Mirzapur
PARMINDER SINGH, Independent, Accepted, Punjab, Khadoor Sahib
JITAN KOL, Independent, Applied, Jharkhand, Dumka
SUKANTA HEMBRAM, Bharatiya Nyay-Adhikar Raksha Party, Accepted, Odisha, Mayurbhanj
SANJEET KUMAR, Peoples Party of India (Democratic), Rejected, Bihar, Jahanabad
SADAL PRASAD, Indian National Congress, Accepted, Uttar Pradesh, Bansgaon
SARAT KUMAR PATRA, Independent, Applied, Odisha, Balasore
RAJ KUMAR CHAUHAN, Independent, Accepted, Punjab, Faridkot
DAUD MARANDI, All India Majlis-E-Ittehadul Muslimeen, Accepted, Jharkhand, Rajmahal
PAPPU, Mulnivasi Adhikar Party, Rejected, Uttar Pradesh, Robertsganj
SARABJIT SINGH, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Jalandhar
PIYARUL ISLAM, Independent, Accepted, West Bengal, Basirhat
SUKANTA HEMBRAM, Bharatiya Nyay-Adhikar Raksha Party, Applied, Odisha, Mayurbhanj
DR SUBHASH SHARMA, Bharatiya Janata Party, Accepted, Punjab, Anandpur Sahib
DAUD MARANDI, All India Majlis-E-Ittehadul Muslimeen, Accepted, Jharkhand, Rajmahal
SONU NIGAM, Bahujan Mukti Party, Accepted, Uttar Pradesh, Robertsganj
MRITUNJAY KUMAR, Bhagidari Party(P), Accepted, Bihar, Patliputra
SADAL PRASAD, Indian National Congress, Rejected, Uttar Pradesh, Bansgaon
MUKESH KUMAR JHA, Independent, Applied, Jharkhand, Godda
RAJPAL, Bahujan Mukti Party, Accepted, Punjab, Hoshiarpur
DR DHARMVIR KUMAR BHASKAR, Independent, Accepted, Bihar, Patna Sahib
ANIL KUMAR, Eklavya Samaj Party, Accepted, Uttar Pradesh, Mirzapur
NALIN SOREN, Jharkhand Mukti Morcha, Applied, Jharkhand, Dumka
SUKH RAM, Independent, Rejected, Punjab, Fatehgarh Sahib
SURYAKANTA DAS MAHAPATRA, Independent, Applied, Odisha, Balasore
MRITUNJAY KUMAR, Bhagidari Party(P), Rejected, Bihar, Patliputra
HARPREET SINGH, Akhil Bhartiya Parivar Party, Rejected, Uttar Pradesh, Varanasi
SURYAKANTA DAS MAHAPATRA, Independent, Applied, Odisha, Balasore
SHASHI RANJAN SUMAN, Independent, Accepted, Bihar, Nalanda
DR DHARMVIR KUMAR BHASKAR, Independent, Accepted, Bihar, Patna Sahib
AMITA, Independent, Accepted, Uttar Pradesh, Gorakhpur
DHARMINDER KUMAR, Bahujan Samaj Party, Rejected, Punjab, Hoshiarpur
GURAVTAR SINGH, Independent, Rejected, Punjab, Firozpur
SHRIKANTA KUMAR JENA, Indian National Congress, Applied, Odisha, Balasore
ARUN KUMAR, Independent, Accepted, Punjab, Khadoor Sahib
GAYA PRASAD, Independent, Accepted, Uttar Pradesh, Bansgaon
SHRIKANTA KUMAR JENA, Indian National Congress, Applied, Odisha, Balasore
GURWINDER SINGH, National Youth Party, Rejected, Punjab, Hoshiarpur
MAHESH PAHARIYA, Independent, Accepted, Jharkhand, Rajmahal
SANJAY YADAV, Independent, Applied, Jharkhand, Godda
TILAK RAJ, Independent, Accepted, Punjab, Gurdaspur
SHRVAN KUMAR NIRALA, Independent, Accepted, Uttar Pradesh, Bansgaon
MUNIYA, Samajwadi Party, Rejected, Uttar Pradesh, Robertsganj
SUKHBIR SINGH BABBAL BHATTI, Independent, Accepted, Punjab, Faridkot
SANJAY YADAV, Independent, Applied, Jharkhand, Godda
SURENDRA NARAYAN SINGH, Bharatiya Janata Party, Rejected, Uttar Pradesh, Varanasi
KINKAR KANTI ROY, Independent, Accepted, West Bengal, Basirhat
MUNIYA, Samajwadi Party, Rejected, Uttar Pradesh, Robertsganj
IQBAL CHAND, Independent, Accepted, Punjab, Jalandhar
RAMSAMUJH, Bahujan Samaj Party, Accepted, Uttar Pradesh, Bansgaon
ANTA ALOK BASKEY, AJSU Party, Accepted, Odisha, Mayurbhanj
GURPREET SINGH, Independent, Accepted, Punjab, Khadoor Sahib
GOBINDA CHANDRA BHOI, National Apni Party, Applied, Odisha, Balasore
SURENDRA NARAYAN SINGH, Bharatiya Janata Party, Rejected, Uttar Pradesh, Varanasi
DR SRILAL KISKU, Independent, Applied, Jharkhand, Dumka
SAHABJADA, Independent, Rejected, Uttar Pradesh, Gorakhpur
ARVIND GUPTA, Independent, Rejected, Bihar, Jahanabad
MOHD ISMAIL ANSARI, Aawami Pichhada Party, Accepted, Uttar Pradesh, Ghosi
PRATAP CHANDRA SARANGI, Bharatiya Janata Party, Applied, Odisha, Balasore
ARUN KUMAR, Bahujan Samaj Party, Accepted, Bihar, Jahanabad
DARSHAN SINGH, Nationalist Justice Party, Accepted, Punjab, Ludhiana
NANDAN PAL, Bharatiya Sampuran Krantikari Party, Applied, Odisha, Balasore
ARUN KUMAR, Bahujan Samaj Party, Accepted, Bihar, Jahanabad
NIRMAL SINGH, Independent, Rejected, Punjab, Fatehgarh Sahib
MARTAND PRATAP SINGH, Rashtriya Samanta Dal, Applied, Uttar Pradesh, Mirzapur
SATISH NAHAR, Independent, Rejected, Punjab, Jalandhar
GURCHARAN SINGH, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Firozpur
SANJAY KUMAR PALAI, Independent, Applied, Odisha, Balasore
VINOD KUMAR, Independent, Accepted, Chandigarh, Chandigarh
RAMSAMUJH, Bahujan Samaj Party, Accepted, Uttar Pradesh, Bansgaon
MRIDUL KUMAR SRIVASTAVA, Independent, Rejected, Uttar Pradesh, Gorakhpur
KUSUM RANI, Independent, Accepted, Punjab, Gurdaspur
TARACHAND SHEELA, Loktantrik Lok Rajyam Party, Accepted, Punjab, Jalandhar
RAGHU, Sarvjan Sanatan Party, Applied, Uttar Pradesh, Mirzapur
DINESH KUMAR YADAV, Independent, Accepted, Uttar Pradesh, Varanasi
LALIT RAMAN, Akhil Bharatiya Jan Sangh, Rejected, Bihar, Patna Sahib
RAJENDRA KUMAR JENA, Bharatiya Nyay-Adhikar Raksha Party, Applied, Odisha, Balasore
NILMANI BISWAS, Independent, Rejected, West Bengal, Dum dum
HARPREET SINGH, Akhil Bhartiya Parivar Party, Rejected, Uttar Pradesh, Varanasi
RABINDRA NATH SINGH, Bharatiya Nyay-Adhikar Raksha Party, Accepted, Odisha, Mayurbhanj
NAND LAL SINGH, Bharateeya Manavadhikar party, Rejected, Punjab, Ludhiana
GANGA RAM MALTO, Independent, Rejected, Jharkhand, Rajmahal
SURYA BALI PRASAD, Aazad Samaj Party (Kanshi Ram), Accepted, Uttar Pradesh, Ballia
GURBARN SINGH, Independent, Accepted, Punjab, Bathinda
AMIT SHARMA, Independent, Rejected, Chandigarh, Chandigarh
SHREEMAD MAHARSHI SHRI SHRI KAMAL MAHAPRABHU, Akhil Bharat Hindu Mahasabha, Applied, Odisha, Balasore
SUSHANTI HEMBROM, Independent, Applied, Jharkhand, Dumka
PAWAN KUMAR TINU, Aam Aadmi Party, Accepted, Punjab, Jalandhar
RAMAKANT, Rashtriya Bhagidari Party, Rejected, Uttar Pradesh, Gorakhpur
VIKRAMJIT SINGH, Independent, Accepted, Punjab, Khadoor Sahib
MD. SHAKIL WARSI, Independent, Accepted, West Bengal, Kolkata Dakshin
SHREEMAD MAHARSHI SHRI SHRI KAMAL MAHAPRABHU, Akhil Bharat Hindu Mahasabha, Applied, Odisha, Balasore
DINESH KUMAR BHATI, Independent, Accepted, Himachal Pradesh, MANDI
PRIYAMA DAS, Independent, Accepted, West Bengal, Basirhat
RAMAKANT, Rashtriya Bhagidari Party, Rejected, Uttar Pradesh, Gorakhpur
MUNNA KUMAR, Samajwadi Lok Parishad, Accepted, Bihar, Nalanda
UJJAWAL KUMAR MISHRA, Independent, Rejected, Uttar Pradesh, Ghosi
SRUSTIDHARA DUTTA, Independent, Applied, Odisha, Balasore
SUSHANTI HEMBROM, Independent, Applied, Jharkhand, Dumka
PAWAN KUMAR TINU, Aam Aadmi Party, Accepted, Punjab, Jalandhar
VIKARAM PRATAP SINGH, Sanatan Sanskriti Raksha Dal, Applied, Uttar Pradesh, Mirzapur
SATYENDRA, Bahujan Samaj Party, Accepted, Uttar Pradesh, Chandauli
RAFIK ANSARI, Independent, Accepted, Uttar Pradesh, Deoria
SRUSTIDHARA DUTTA, Independent, Applied, Odisha, Balasore
ANISUR RAHAMAN SK, Independent, Accepted, West Bengal, Diamond harbour
ALESH HANSDA, Indian National Socialistic Action Forces, Applied, Jharkhand, Dumka
SRUSTIDHARA DUTTA, Independent, Applied, Odisha, Balasore
GITA VARMA, Samajwadi Lok Parishad, Rejected, Bihar, Jahanabad
MURLI DHAR, Independent, Accepted, Uttar Pradesh, Bansgaon
SRUSTIDHARA DUTTA, Independent, Applied, Odisha, Balasore
SATYENDRA, Bahujan Samaj Party, Accepted, Uttar Pradesh, Chandauli
BALWANT SINGH, Loktantrik Lok Rajyam Party, Rejected, Punjab, Firozpur
JITENDRA KUMAR, Samajwadi Party, Rejected, Uttar Pradesh, Robertsganj
BABYLATA TUDU, Independent, Applied, Jharkhand, Dumka
SHAILESH KUMAR VERMA, Independent, Rejected, Uttar Pradesh, Maharajganj
JITENDRA KUMAR, Independent, Accepted, Uttar Pradesh, Robertsganj
PARWINDER SINGH, Independent, Accepted, Punjab, Bathinda
NAR SINGH, Independent, Rejected, Uttar Pradesh, Varanasi
BAJRANGI MAHTHA, Bahujan Samaj Party, Applied, Jharkhand, Godda
NAVEEN KUMAR SHARMA, Sanjhi Virasat Party, Accepted, Punjab, Khadoor Sahib
HARIKESH, Parivartan Samaj Party, Rejected, Uttar Pradesh, Deoria
KANHAI, Independent, Rejected, Uttar Pradesh, Gorakhpur
