cand_id,cand_name,party_name,state,const_name
cand1064,"JAGDAMBIKA PAL","Bharatiya Janata Party","Uttar Pradesh",Domariyaganj
cand1065,"KISHOR KUMAR SUTAR",Independent,Odisha,Bhubaneswar
cand1066,"CHANDRASHEKHAR SINGH KUSHWAHA",Independent,"NCT OF Delhi","South Delhi"
cand1067,"ABHA RAY","Peoples Party of India (Democratic)",Bihar,Vaishali
cand1068,"RAVINDER SINGH","Gareeb Aadmi Party","NCT OF Delhi","New Delhi"
cand1069,"SOMNATH BHARTI","Aam Aadmi Party","NCT OF Delhi","New Delhi"
cand107,"ANAND KUMAR YADAV","Bharatheeya Jawan Kisan Party","Uttar Pradesh",Gorakhpur
cand1070,ANWAR,"Social Democratic Party Of India",Haryana,GURGAON
cand1071,"OM PARKASH INDAL","Global Republican Party",Haryana,KURUKSHETRA
cand1072,"AINUL ANSARI",Independent,Jharkhand,Ranchi
cand1073,"PREM SINGH","Navarang Congress Party","NCT OF Delhi","New Delhi"
cand1074,"AINUL ANSARI",Independent,Jharkhand,Ranchi
cand1075,"RAHUL YADAV FAZILPURIA","Jannayak Janta Party",Haryana,GURGAON
cand1076,MANISHA,Independent,Haryana,ROHTAK
cand1077,"RAMESH KUMAR PATEL","Bahujan Samaj Party","Uttar Pradesh",Allahabad
cand1078,"AINUL ANSARI",Independent,Jharkhand,Ranchi
cand1079,"MD. EKLAK ANSARI",Independent,Jharkhand,Dhanbad
cand108,"RINKI SINGH","Apna Dal (Soneylal)","Uttar Pradesh",Robertsganj
cand1080,"SUNNY KASHYAP TEORA",Independent,Haryana,KURUKSHETRA
cand1081,"MD. EKLAK ANSARI",Independent,Jharkhand,Dhanbad
cand1082,"SEEMA RIZVI","Azad Samaj Party","NCT OF Delhi","Chandni Chowk"
cand1083,"HULAS SENAPATI",Independent,Odisha,Bhubaneswar
cand1084,"BHOLA HARIJAN",Independent,Bihar,Gopalganj
cand1085,"RINKI SANYAL","Bharatiya Sampuran Krantikari Party","NCT OF Delhi","South Delhi"
cand1086,"YOGENDER SINGH","Bharatiya Liberal Party","NCT OF Delhi","Chandni Chowk"
cand1087,"GYANESHWAR PRASAD","Lokhit Adhikar Party",Jharkhand,Giridih
cand1088,"BIPLAB HEMBRAM",Independent,"West Bengal",Jhargram
cand1089,"SANTOSH KUMAR JAISWAL",Independent,Jharkhand,Ranchi
cand109,"MUNILAL YADAV",Independent,Bihar,Jahanabad
cand1090,"VIJENDRA THAKUR","Bahujan Samaj Party",Bihar,Sheohar
cand1091,ROHTASH,Independent,Haryana,SONIPAT
cand1092,"SHIV PAL SINGH PATEL (DR. S P SINGH)","Samajwadi Party","Uttar Pradesh",Pratapgarh
cand1093,"PARDEEP DAHIYA",Independent,Haryana,HISAR
cand1094,RAVINDER,"Jannayak Janta Party",Haryana,ROHTAK
cand1095,"ADVOCATE PARDEEP SIHMAR","Peoples Party of India (Democratic)",Haryana,HISAR
cand1096,"GOUR CHANDRA HEMBRAM",Independent,"West Bengal",Bankura
cand1097,"PRANAV KUMAR MAHTO","Bahujan Samaj Party",Jharkhand,Jamshedpur
cand1098,"TULSI MAHTO",Independent,Jharkhand,Dhanbad
cand1099,"JAYA RAMAN","Sarvlokhit Samaj Party","NCT OF Delhi","West Delhi"
cand11,"BALDEV SINGH",Independent,Punjab,Ludhiana
cand110,"UMESH KUMAR",Independent,Punjab,Firozpur
cand1100,"HEMNTI DEVI","Samata Party",Jharkhand,Ranchi
cand1101,"BALENDRA TIWARY","Hindustan Janta Party Secular",Bihar,Vaishali
cand1102,"LAKHAN SINGH","Navarang Congress Party","NCT OF Delhi","South Delhi"
cand1103,"SUBHASH CHANDRA DUBEY","Naki Bharatiya Ekta Party","Uttar Pradesh","Sant Kabir Nagar"
cand1104,"NITAI DUTTA",Independent,Jharkhand,Dhanbad
cand1105,"ANUJ SWAROOP SHUKLA",Independent,"Uttar Pradesh",Allahabad
cand1106,"DR. KAMLESH KUMAR SAINI",Independent,Haryana,SONIPAT
cand1107,"NITAI DUTTA",Independent,Jharkhand,Dhanbad
cand1108,"RAM PRASAD HEMBRAM","Bahujan Samaj Party",Odisha,Keonjhar
cand1109,"MARSHAL TUDU",Independent,"West Bengal",Bankura
cand111,"GOPAL SINGH","Azad Adhikar Sena","Uttar Pradesh",Ghosi
cand1110,"KRISHNA CHANDRA SINGH RAJ","Samata Party",Jharkhand,Dhanbad
cand1111,"AKHILESH TRIPATHI",Independent,"Uttar Pradesh",Phulpur
cand1112,"RODASH GUPTA",Independent,"NCT OF Delhi","East Delhi"
cand1113,"SAMIR KUMAR MOHANTY","Jharkhand Mukti Morcha",Jharkhand,Jamshedpur
cand1114,"AVANEESH KUMAR",Independent,"Uttar Pradesh",Allahabad
cand1115,UPEN‍DRA,"Anjaan Aadmi Party","NCT OF Delhi","New Delhi"
cand1116,MADHU,"Akhil Bhartiya Parivar Party","NCT OF Delhi","West Delhi"
cand1117,HEENA,"Public Political Party","NCT OF Delhi","Chandni Chowk"
cand1118,UDEVIR,Independent,Haryana,ROHTAK
cand1119,"SUNIL KUMAR","Rashtriya Garib Dal",Haryana,SONIPAT
cand112,"DIPENDU HAZRA",Independent,"West Bengal","Kolkata Dakshin"
cand1120,"LAKSHYA VASHIST (SHYAM)","Jindabad Kranti Party","NCT OF Delhi","NORTH EAST DELHI"
cand1121,"MOHAMMAD SOAIB",Independent,Bihar,"Paschim Champaran"
cand1122,"KARNAIL SINGH ODHAN",Independent,Haryana,SIRSA
cand1123,"JOHN MIRAN MUNDA",Independent,Odisha,Keonjhar
cand1124,"NABA KUMAR SARANIA (HIRA BHAI)","Gana Suraksha Party",Bihar,"Valmiki Nagar"
cand1125,"SAMBIT PATRA","Bharatiya Janata Party",Odisha,Puri
cand1126,"NEERAJ KUMAR “CHHATTAR”","Bharatiya Asha Party",Haryana,HISAR
cand1127,"MASTER RANDHIR SINGH",Independent,Haryana,ROHTAK
cand1128,"KOLESHWAR MAHTO",Independent,Jharkhand,Ranchi
cand1129,"BANSURI SWARAJ","Bharatiya Janata Party","NCT OF Delhi","New Delhi"
cand113,"RAJEEV KUMAR RAI","Samajwadi Party","Uttar Pradesh",Ghosi
cand1130,"KALIPADA DAS",Independent,"West Bengal",Tamluk
cand1131,"ARUNIMA GAUTAM",Independent,"NCT OF Delhi","East Delhi"
cand1132,KULDEEP,"Sardar Patel Siddhant Party","Uttar Pradesh","Sant Kabir Nagar"
cand1133,"DURGESH KUMAR","Rastriya Atal Janta Party","Uttar Pradesh",Pratapgarh
cand1134,"DHYAN SINGH",Independent,"Uttar Pradesh",Pratapgarh
cand1135,"NAFISH AHMAD",Independent,Bihar,"Paschim Champaran"
cand1136,"SURJEET SINGH","Delhi Janta Party","NCT OF Delhi","South Delhi"
cand1137,"RAJAKISHORE MALLIK","Socialist Unity Centre Of India (COMMUNIST)",Odisha,Cuttack
cand1138,ATUL,Independent,Haryana,FARIDABAD
cand1139,"ASHOK TANWAR","Bharatiya Janata Party",Haryana,SIRSA
cand114,"ANKIT SHAH","Bharatiya Yuva Jan Ekta Party","Uttar Pradesh",Gorakhpur
cand1140,"JAI PRAKASH (J.P.) S/O UMA DUTT",Independent,Haryana,HISAR
cand1141,"ANIKET RAJ","Rashtriya Samaj Paksha",Bihar,Vaishali
cand1142,"PRADEEP KUMAR",Independent,"NCT OF Delhi","NORTH WEST DELHI"
cand1143,"MOOLNIWASI HEMRAJ SINGH","Peoples Party of India (Democratic)","Uttar Pradesh",Allahabad
cand1144,"GULSHAN KASHYAP",Independent,Haryana,KARNAL
cand1145,"MASHHOD SABEEHA ANSARI","Bahujan Samaj Party","Uttar Pradesh",Azamgarh
cand1146,"MOHAMMAD AJMER ALAM",Independent,Bihar,"Purvi Champaran"
cand1147,"ABDUL MABOOD","Apna Desh Party","Uttar Pradesh",Sultanpur
cand1148,"DHARMENDRA TIWARI","Log Party","Uttar Pradesh",Pratapgarh
cand1149,SATPAL,Independent,Haryana,SONIPAT
cand115,"PRAKASH KUMAR",Independent,"Uttar Pradesh",Ballia
cand1150,"AJIT MAHATO",Independent,"West Bengal",Purulia
cand1151,"JASVIR SINGH",Independent,Haryana,SIRSA
cand1152,"SANTANU KUMAR DAS","Bahujan Samaj Party",Odisha,Puri
cand1153,"KRISHAN PAL","Bharatiya Janata Party",Haryana,FARIDABAD
cand1154,"PAWAN KUMAR","Bhartiya Sarthak Party",Bihar,"Purvi Champaran"
cand1155,"JILE SINGH",Independent,Haryana,HISAR
cand1156,"BINOD ORAON","Bahujan Mukti Party",Jharkhand,Ranchi
cand1157,"KANHAIYA KUMAR",Independent,Bihar,Sheohar
cand1158,"ANGAD MAHATO","Amra Bangalee",Jharkhand,Jamshedpur
cand1159,"PRAVIN KUMAR NISHAD","Bharatiya Janata Party","Uttar Pradesh","Sant Kabir Nagar"
cand116,"ANKUSH JINDAL",Independent,Punjab,Bathinda
cand1160,"MANOHAR LAL","Bharatiya Janata Party",Haryana,KARNAL
cand1161,"HANSHRAJ KOL","Apna Dal (Kamerawadi)","Uttar Pradesh",Allahabad
cand1162,"KANHAIYA KUMAR",Independent,Bihar,Sheohar
cand1163,"PRAMOD KUMAR MALLICK","Bahujan Samaj Party",Odisha,Cuttack
cand1164,"DURGESH SINGH CHAUHAN","Bahujan Samaj Party",Bihar,"Valmiki Nagar"
cand1165,"SHAILENDRA KUMAR","Bharat Mahaparivar Party","Uttar Pradesh",Basti
