name,party_name,state,constituency
PREM SINGH,Navarang Congress Party,NCT OF Delhi,New Delhi
AINUL ANSARI,Independent,Jharkhand,Ranchi
RAHUL YADAV FAZILPURIA,Jannayak Janta Party,Haryana,GURGAON
MANISHA,Independent,Haryana,ROHTAK
RAMESH KUMAR PATEL,Bahujan Samaj Party,Uttar Pradesh,Allahabad
AINUL ANSARI,Independent,Jharkhand,Ranchi
MD. EKLAK ANSARI,Independent,Jharkhand,Dhanbad
SUNNY KASHYAP TEORA,Independent,Haryana,KURUKSHETRA
MD. EKLAK ANSARI,Independent,Jharkhand,Dhanbad
SEEMA RIZVI,Azad Samaj Party,NCT OF Delhi,Chandni Chowk
HULAS SENAPATI,Independent,Odisha,Bhubaneswar
BHOLA HARIJAN,Independent,Bihar,Gopalganj
RINKI SANYAL,Bharatiya Sampuran Krantikari Party,NCT OF Delhi,South Delhi
YOGENDER SINGH,Bharatiya Liberal Party,NCT OF Delhi,Chandni Chowk
GYANESHWAR PRASAD,Lokhit Adhikar Party,Jharkhand,Giridih
BIPLAB HEMBRAM,Independent,West Bengal,Jhargram
SANTOSH KUMAR JAISWAL,Independent,Jharkhand,Ranchi
VIJENDRA THAKUR,Bahujan Samaj Party,Bihar,Sheohar
ROHTASH,Independent,Haryana,SONIPAT
SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,Uttar Pradesh,Pratapgarh
PARDEEP DAHIYA,Independent,Haryana,HISAR
RAVINDER,Jannayak Janta Party,Haryana,ROHTAK
ADVOCATE PARDEEP SIHMAR,Peoples Party of India (Democratic),Haryana,HISAR
GOUR CHANDRA HEMBRAM,Independent,West Bengal,Bankura
PRANAV KUMAR MAHTO,Bahujan Samaj Party,Jharkhand,Jamshedpur
TULSI MAHTO,Independent,Jharkhand,Dhanbad
JAYA RAMAN,Sarvlokhit Samaj Party,NCT OF Delhi,West Delhi
HEMNTI DEVI,Samata Party,Jharkhand,Ranchi
BALENDRA TIWARY,Hindustan Janta Party Secular,Bihar,Vaishali
LAKHAN SINGH,Navarang Congress Party,NCT OF Delhi,South Delhi
SUBHASH CHANDRA DUBEY,Naki Bharatiya Ekta Party,Uttar Pradesh,Sant Kabir Nagar
NITAI DUTTA,Independent,Jharkhand,Dhanbad
ANUJ SWAROOP SHUKLA,Independent,Uttar Pradesh,Allahabad
DR. KAMLESH KUMAR SAINI,Independent,Haryana,SONIPAT
NITAI DUTTA,Independent,Jharkhand,Dhanbad
RAM PRASAD HEMBRAM,Bahujan Samaj Party,Odisha,Keonjhar
MARSHAL TUDU,Independent,West Bengal,Bankura
KRISHNA CHANDRA SINGH RAJ,Samata Party,Jharkhand,Dhanbad
AKHILESH TRIPATHI,Independent,Uttar Pradesh,Phulpur
RODASH GUPTA,Independent,NCT OF Delhi,East Delhi
SAMIR KUMAR MOHANTY,Jharkhand Mukti Morcha,Jharkhand,Jamshedpur
AVANEESH KUMAR,Independent,Uttar Pradesh,Allahabad
UPEN‍DRA,Anjaan Aadmi Party,NCT OF Delhi,New Delhi
MADHU,Akhil Bhartiya Parivar Party,NCT OF Delhi,West Delhi
HEENA,Public Political Party,NCT OF Delhi,Chandni Chowk
UDEVIR,Independent,Haryana,ROHTAK
SUNIL KUMAR,Rashtriya Garib Dal,Haryana,SONIPAT
LAKSHYA VASHIST (SHYAM),Jindabad Kranti Party,NCT OF Delhi,North-East Delhi
MOHAMMAD SOAIB,Independent,Bihar,Paschim Champaran
KARNAIL SINGH ODHAN,Independent,Haryana,SIRSA
JOHN MIRAN MUNDA,Independent,Odisha,Keonjhar
NABA KUMAR SARANIA (HIRA BHAI),Gana Suraksha Party,Bihar,Valmiki Nagar
SAMBIT PATRA,Bharatiya Janata Party,Odisha,Puri
NEERAJ KUMAR “CHHATTAR”,Bharatiya Asha Party,Haryana,HISAR
MASTER RANDHIR SINGH,Independent,Haryana,ROHTAK
KOLESHWAR MAHTO,Independent,Jharkhand,Ranchi
BANSURI SWARAJ,Bharatiya Janata Party,NCT OF Delhi,New Delhi
KALIPADA DAS,Independent,West Bengal,Tamluk
ARUNIMA GAUTAM,Independent,NCT OF Delhi,East Delhi
KULDEEP,Sardar Patel Siddhant Party,Uttar Pradesh,Sant Kabir Nagar
DURGESH KUMAR,Rastriya Atal Janta Party,Uttar Pradesh,Pratapgarh
DHYAN SINGH,Independent,Uttar Pradesh,Pratapgarh
NAFISH AHMAD,Independent,Bihar,Paschim Champaran
SURJEET SINGH,Delhi Janta Party,NCT OF Delhi,South Delhi
RAJAKISHORE MALLIK,Socialist Unity Centre Of India (COMMUNIST),Odisha,Cuttack
ATUL,Independent,Haryana,FARIDABAD
ASHOK TANWAR,Bharatiya Janata Party,Haryana,SIRSA
JAI PRAKASH (J.P.) S/O UMA DUTT,Independent,Haryana,HISAR
ANIKET RAJ,Rashtriya Samaj Paksha,Bihar,Vaishali
PRADEEP KUMAR,Independent,NCT OF Delhi,North-West Delhi
MOOLNIWASI HEMRAJ SINGH,Peoples Party of India (Democratic),Uttar Pradesh,Allahabad
GULSHAN KASHYAP,Independent,Haryana,KARNAL
MASHHOD SABEEHA ANSARI,Bahujan Samaj Party,Uttar Pradesh,Azamgarh
MOHAMMAD AJMER ALAM,Independent,Bihar,Purvi Champaran
ABDUL MABOOD,Apna Desh Party,Uttar Pradesh,Sultanpur
DHARMENDRA TIWARI,Log Party,Uttar Pradesh,Pratapgarh
SATPAL,Independent,Haryana,SONIPAT
AJIT MAHATO,Independent,West Bengal,Purulia
JASVIR SINGH,Independent,Haryana,SIRSA
SANTANU KUMAR DAS,Bahujan Samaj Party,Odisha,Puri
KRISHAN PAL,Bharatiya Janata Party,Haryana,FARIDABAD
PAWAN KUMAR,Bhartiya Sarthak Party,Bihar,Purvi Champaran
JILE SINGH,Independent,Haryana,HISAR
BINOD ORAON,Bahujan Mukti Party,Jharkhand,Ranchi
KANHAIYA KUMAR,Independent,Bihar,Sheohar
ANGAD MAHATO,Amra Bangalee,Jharkhand,Jamshedpur
PRAVIN KUMAR NISHAD,Bharatiya Janata Party,Uttar Pradesh,Sant Kabir Nagar
MANOHAR LAL,Bharatiya Janata Party,Haryana,KARNAL
HANSHRAJ KOL,Apna Dal (Kamerawadi),Uttar Pradesh,Allahabad
KANHAIYA KUMAR,Independent,Bihar,Sheohar
PRAMOD KUMAR MALLICK,Bahujan Samaj Party,Odisha,Cuttack
DURGESH SINGH CHAUHAN,Bahujan Samaj Party,Bihar,Valmiki Nagar
SHAILENDRA KUMAR,Bharat Mahaparivar Party,Uttar Pradesh,Basti
AMAR SINGH CHAUDHARY,Aazad Samaj Party (Kanshi Ram),Uttar Pradesh,Domariyaganj
SUSHANT KUMAR NAIK,Independent,Odisha,Keonjhar
DHANANJAY,Independent,Uttar Pradesh,Pratapgarh
SUNIL KUMAR,Independent,NCT OF Delhi,Chandni Chowk
BIDYUT BARAN MAHATO,Bharatiya Janata Party,Jharkhand,Jamshedpur
SURAJIT SINGH KURMALI,Independent,West Bengal,Bankura
LALIT KUMAR,Independent,Haryana,ROHTAK
DINANATH MANJHI,All India Majlis-E-Ittehadul Muslimeen,Bihar,Gopalganj
DEEPAK SHARMA,Bharatiya Jan Jagriti Party,NCT OF Delhi,West Delhi
SURENDER SINGH,Independent,Haryana,SONIPAT
MAHABAL MISHRA,Aam Aadmi Party,NCT OF Delhi,West Delhi
SYED YASHIR NAWAZ,Indian National Congress,Odisha,Bhubaneswar
BRIJABALA,Peoples Party of India (Democratic),Haryana,FARIDABAD
ISHWAR JHAJHRIA,Independent,Haryana,HISAR
SUKHDEV SINGH SANDHU,Independent,Haryana,SIRSA
JAYANARAYAN PATTANAYAK,Indian National Congress,Odisha,Puri
ARUN KUMAR SHARMA,Bhartiya Azad Sena,Jharkhand,Jamshedpur
DHIRENDRA KUMAR TIWARI,Independent,Uttar Pradesh,Bhadohi
CHANDER PAL SONI,Independent,NCT OF Delhi,North-West Delhi
GEETA DEVI,Bhartiya Lokmat Rashtrwadi Party,Uttar Pradesh,Pratapgarh
RAJESH KUMAR S/O VISHUN SAH,Independent,Bihar,Purvi Champaran
SHIV NARAYAN BABA DUBEY,Kisan Mazdoor Sangharsh Party,Haryana,FARIDABAD
INDU CHAUDHRI,Bahujan Samaj Party,Uttar Pradesh,Lalganj
MOHAMMAD MAHTAB ALAM,Samaj Shakti Party,Bihar,Sheohar
AKHILESHWAR PRASAD SINGH,All India Majlis-E-Ittehadul Muslimeen,Bihar,Maharajganj
NAWAL KISHOR PRASAD,Viro Ke Vir Indian Party,Bihar,Purvi Champaran
PRAMOD KUMAR,Independent,Uttar Pradesh,Basti
VINEET CHOUDHARY,Bharatiya Asha Party,Haryana,KARNAL
PUSHPA NAGRA,Independent,NCT OF Delhi,North-West Delhi
DR. VINOD KUMAR BIND,Bharatiya Janata Party,Uttar Pradesh,Bhadohi
RAN SINGH PANWAR,Independent,Haryana,SIRSA
ACHLA JETHMALANI,Jindabad Kranti Party,NCT OF Delhi,New Delhi
BALWAN SINGH,Independent,Haryana,KARNAL
MD AINUL ANSARI,Bahujan Mukti Party,Jharkhand,Giridih
JAIRAM KUMAR MAHATO,Independent,Jharkhand,Giridih
POONAM SRIVASTAVA,Independent,NCT OF Delhi,South Delhi
YOGESH CHAUDHARY,Bhartiya Veer Dal,NCT OF Delhi,East Delhi
BETA MAM CHAND RATTUWALA,Bharatiya Yuva Jan Ekta Party,Haryana,AMBALA
MOHRAM ALI,Independent,Uttar Pradesh,Pratapgarh
VINOD KUMAR GUPTA,Akhil Bhartiya Parivar Party,NCT OF Delhi,Chandni Chowk
K M KAJAL,Public Political Party,NCT OF Delhi,North-West Delhi
OM SHANKAR,Independent,NCT OF Delhi,East Delhi
RAJESH KUMAR S/O GAGANLAL SAHNI,Independent,Bihar,Purvi Champaran
SANTOSH KUMAR MISHRA,Independent,Odisha,Bhubaneswar
BHARAT BHUSHAN,Bhartiya Shakti Chetna Party,Haryana,BHIWANI-MAHENDRAGARH
MD. NADEEM,Bahujan Samaj Party,Uttar Pradesh,Domariyaganj
SANTOSH KUMAR MISHRA,Independent,Odisha,Bhubaneswar
KHAGESWAR BEHERA,Rashtriya Manav Party,Odisha,Sambalpur
BANTO KATARIA,Bharatiya Janata Party,Haryana,AMBALA
SOBHA PANDEY,Independent,Odisha,Puri
DIVYANSHU BUDHIRAJA,Indian National Congress,Haryana,KARNAL
JAI SINGH,Independent,Haryana,BHIWANI-MAHENDRAGARH
KALAWATI,Independent,Haryana,ROHTAK
AJEET PRATAP,Independent,Uttar Pradesh,Pratapgarh
NAND RAM BAGRI,Voters Party  International,NCT OF Delhi,North-West Delhi
RAJIV KANT MISHRA,Independent,NCT OF Delhi,West Delhi
PRAMOD KUREEL,Bahujan National Party (Ambedkar),NCT OF Delhi,West Delhi
NIRMAL SINGH,Independent,Haryana,SONIPAT
RANG BAHADUR,Independent,Uttar Pradesh,Machhlishahr
RITU JAISWAL,Rashtriya Janata Dal,Bihar,Sheohar
RAGHUMANI NAIK,Independent,Odisha,Keonjhar
ENGINEER MAHAVIR SINGH YADAV,Independent,Haryana,BHIWANI-MAHENDRAGARH
SUBASH MOHAPATRA,National Jan Dal,Odisha,Sambalpur
ARVIND KUMAR SHARMA,Independent,Haryana,ROHTAK
UDIT RAJ,Indian National Congress,NCT OF Delhi,North-West Delhi
AZAD SINGH PUNIA,Independent,Haryana,KARNAL
PARMENDRA MANJHI,Independent,NCT OF Delhi,North-West Delhi
BIRSABIR BASKEY,Ambedkarite Party of India,West Bengal,Jhargram
AMIT MALIK,Independent,Haryana,KURUKSHETRA
SANGEETA PATTANAIK,Odisha Janata Party,Odisha,Bhubaneswar
KAMLESH,Azad Samaj Party,Uttar Pradesh,Machhlishahr
ASHOK MISHRA,Independent,NCT OF Delhi,North-East Delhi
DR SUSHIL GUPTA,Aam Aadmi Party,Haryana,KURUKSHETRA
MADHUSUDAN SINGH,Bahujan Samaj Party,Bihar,Maharajganj
RUDRA NARAYAN PANY,Bharatiya Janata Party,Odisha,Dhenkanal
SEEMA,Independent,Haryana,BHIWANI-MAHENDRAGARH
ASHOK KUMAR,Independent,Haryana,KARNAL
HARI NARAYAN RAM,Viro Ke Vir Indian Party,Bihar,Vaishali
PRAMOD KUMAR,Independent,Uttar Pradesh,Pratapgarh
SAWATANTAR SINGH CHAUHAN,Jan Shakti Dal,Haryana,FARIDABAD
SANJAY DASS,Independent,Haryana,SONIPAT
BAGDAWAT RAM,Independent,Haryana,SIRSA
DR. SHYAMDHAR TIWARI,Independent,Uttar Pradesh,Bhadohi
JYOTI PRAKASH (MONU),Ekam Sanatan Bharat Dal,NCT OF Delhi,East Delhi
SANDEEP LOT VALMIKI,Indian National Lok Dal,Haryana,SIRSA
GOPAL MONDAL,Independent,West Bengal,Ghatal
RANDHIR SINGH,Independent,Haryana,HISAR
NEERAJ JATAV,Independent,Haryana,FARIDABAD
DR. SHYAMDHAR TIWARI,Independent,Uttar Pradesh,Bhadohi
JANARDAN SINGH SIGRIWAL,Bharatiya Janata Party,Bihar,Maharajganj
SAROJ KUMAR RAY,Independent,NCT OF Delhi,North-East Delhi
COMRADE RAMESH KHATKAR,Independent,Haryana,KURUKSHETRA
SURENDER,Aam Aadmi Parivartan Party,Haryana,ROHTAK
LEENA KOHLI,Independent,Haryana,KARNAL
UDAYRAJ VERMA,Independent,Uttar Pradesh,Sultanpur
AHMAD JIYA KHAN,Peace Party,Uttar Pradesh,Shrawasti
RAJESH SINGH,Independent,Bihar,Purvi Champaran
BINOD BIHARI NAIK,Indian National Congress,Odisha,Keonjhar
RAHUL CHOUHAN,Independent,Haryana,SIRSA
SASHMITA BEHERA,Indian National Congress,Odisha,Dhenkanal
OMAPRAKASH,Samaj Vikas Kranti Party,NCT OF Delhi,South Delhi
BIRPAL SINGH KOLI,Independent,NCT OF Delhi,North-East Delhi
PRAMOD KUMAR,Independent,Bihar,Siwan
VISHAKHA,Bahujan Samaj Party,NCT OF Delhi,West Delhi
NIVEDITA SHARMA “PREM”,Rashtrawadi Janlok Party (Satya),NCT OF Delhi,North-East Delhi
DHARMU TUDU,Ambedkarite Party of India,Jharkhand,Jamshedpur
AMIT GUPTA,Independent,NCT OF Delhi,East Delhi
RAJENDER SOOD,Aam Janshakti Party,NCT OF Delhi,North-West Delhi
SRIRAM PANDEY,Independent,Odisha,Sambalpur
YOGESH SWAMY,Independent,NCT OF Delhi,North-East Delhi
RAJIB TIWARI,Socialist Unity Centre Of India (COMMUNIST),Jharkhand,Dhanbad
KIRAN DEVI,Independent,Uttar Pradesh,Domariyaganj
MAHESWAR SAHOO,Independent,Odisha,Dhenkanal
CHANDRA PRAKASH CHOUDHARY,AJSU Party,Jharkhand,Giridih
NAINA SINGH CHAUTALA,Jannayak Janta Party,Haryana,HISAR
SOMA SINGH,Jai Maha Bharath Party,Jharkhand,Ranchi
NAGENDRA KUMAR PRADHAN,Indian National Congress,Odisha,Sambalpur
RAUSHAN KUMAR SRIVASTAVA,Independent,Bihar,Paschim Champaran
SEWA SINGH,Independent,Haryana,KURUKSHETRA
DR. RAJESH KUMAR SINGH,Independent,NCT OF Delhi,North-East Delhi
RAJENDRA PRASAD,Rashtra Uday Party,Uttar Pradesh,Machhlishahr
ARUN MAHATO,Independent,Jharkhand,Jamshedpur
JAI PARKASH (J P) S/O HARIKESH,Indian National Congress,Haryana,HISAR
DR NEERAJ,Independent,Uttar Pradesh,Phulpur
YOGESH SHARMA,Independent,Haryana,ROHTAK
GAUBHAGAT SUMIT LATHER,Independent,Haryana,SONIPAT
LAMBODAR NAIK,Independent,Odisha,Keonjhar
DR NEERAJ,Independent,Uttar Pradesh,Phulpur
ASHOK KUMAR,Bahujan Samaj Party,NCT OF Delhi,North-East Delhi
MAHENDRA NATH YADAV,Moolniwasi Samaj Party,Uttar Pradesh,Azamgarh
MOHAMMAD FAISHAL KHAN,Independent,Jharkhand,Dhanbad
SAHEB CHOWDHURY,Independent,West Bengal,Ghatal
ARVIND,Independent,Haryana,ROHTAK
BABU SINGH KUSHWAHA,Samajwadi Party,Uttar Pradesh,Jaunpur
KUMARI GEETA GAUTAM,Rashtriya Janta Party,Uttar Pradesh,Shrawasti
SUBHASH,Asankhya Samaj Party,NCT OF Delhi,North-West Delhi
MOHAMMAD FAISHAL KHAN,Independent,Jharkhand,Dhanbad
ADITI,Independent,NCT OF Delhi,North-West Delhi
YASHASWINI SAHAY,Indian National Congress,Jharkhand,Ranchi
ADHIKARI SOUMENDU,Bharatiya Janata Party,West Bengal,Kanthi
AJAY TIWARI,Right to Recall Party,NCT OF Delhi,North-East Delhi
RANDHEER SINGH ALIAS DHEERU KHATANA,Akhil Bhartiya Kisan Majdoor Party,Haryana,FARIDABAD
BRIJESH KUMAR SAROJ,Prabuddhwadi Bahujan Morcha,Uttar Pradesh,Machhlishahr
GOKULANANDA MISHRA,Independent,Odisha,Cuttack
BISHWANATH MAHATO,Independent,Jharkhand,Jamshedpur
ARUN KUMAR PANDEY,Hindustan Samaj Party,Uttar Pradesh,Pratapgarh
PALA RAM SAINI,Jannayak Janta Party,Haryana,KURUKSHETRA
KAMAL KUMAR BARARA,Aazad Samaj Party (Kanshi Ram),Haryana,AMBALA
MOHAN SINGH,Bahujan Samaj Party,Jharkhand,Dhanbad
PRIYABRATA GARNAIK,Independent,Odisha,Dhenkanal
MAMTA KUMARI,Samata Party,Bihar,Sheohar
SHAKILA HUSSAIN,Loktantrik Janshakti Party,Haryana,FARIDABAD
ANUPAMA SINGH,Indian National Congress,Jharkhand,Dhanbad
ATMA RAM SUPKAR,Independent,Odisha,Sambalpur
RAM NARAYAN MOHANTY,Independent,NCT OF Delhi,West Delhi
DHARMENDRA YADAV,Samajwadi Party,Uttar Pradesh,Azamgarh
MD. KALAM SAI,Independent,Bihar,Paschim Champaran
DR MAHESH CHAND GAUR,Independent,Haryana,KURUKSHETRA
AJ RAJAN,Navarang Congress Party,NCT OF Delhi,West Delhi
UTTAM BARIK SON OF LATE NARAYAN BARIK,Independent,West Bengal,Kanthi
SATISH KUMAR,Independent,Haryana,ROHTAK
MOHAMMAD TAFAZUL HUSSAIN,Independent,Jharkhand,Dhanbad
SHIV RAM SHARMA,Moulik Adhikar Party,Uttar Pradesh,Pratapgarh
SHYAM  BIHARI PRAJAPATI,Bhagidari Party(P),Jharkhand,Ranchi
SHYAM SINGH YADAV,Bahujan Samaj Party,Uttar Pradesh,Jaunpur
SANJAY SETH,Bharatiya Janata Party,Jharkhand,Ranchi
RAMHARI GOPE,Ambedkarite Party of India,Jharkhand,Ranchi
SURENDRA SINGH BASOYA,Peoples Party of India (Democratic),NCT OF Delhi,East Delhi
GNYANENDRA BEHERA,Independent,Odisha,Sambalpur
GYANTI DEVI,Prabuddha Republican Party,Bihar,Purvi Champaran
MOHD. WAQAR CHOUDHARY,Bahujan Samaj Party,NCT OF Delhi,East Delhi
VIRENDER,Independent,NCT OF Delhi,South Delhi
JAGDISH,Independent,Haryana,BHIWANI-MAHENDRAGARH
MD NAZIR,Aman Samaj Party,NCT OF Delhi,Chandni Chowk
HARJEET SINGH VIRK,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Haryana,KARNAL
ARJUN KUMAR MAITY,Independent,West Bengal,Kanthi
AKSHAT GAIT,Independent,Haryana,GURGAON
SUJEET KUMAR RAM,Bahujan Samaj Party,Bihar,Gopalganj
AKSHAT GAIT,Independent,Haryana,GURGAON
UDRAJ VERMA,Bahujan Samaj Party,Uttar Pradesh,Sultanpur
MANOJ KUMAR,Bahujan Samaj Party,Jharkhand,Ranchi
PANDIT SUMIT KUMAR SHARMA,AARAKSHAN VIRODHI PARTY,Haryana,FARIDABAD
RAM GOPAL,Haryana Jansena Party,NCT OF Delhi,South Delhi
HARINATH SAHU,Lokhit Adhikar Party,Jharkhand,Ranchi
KALAWATI DEVI,Independent,Jharkhand,Giridih
MANOJ KUMAR SHARMA,Loktantrik Janshakti Party,NCT OF Delhi,New Delhi
MISTRI DAULAT RAM ROLAN,Peoples Party of India (Democratic),Haryana,SIRSA
JITENDRA SINGH,Independent,Jharkhand,Jamshedpur
KALAWATI DEVI,Independent,Jharkhand,Giridih
JOHN MIRAN MUNDA,Independent,Odisha,Keonjhar
KALAWATI DEVI,Independent,Jharkhand,Giridih
PARWATI KISKU,Independent,Jharkhand,Jamshedpur
SATISH KUMAR,Ekam Sanatan Bharat Dal,Haryana,ROHTAK
DEEPAK KAPILA,Independent,NCT OF Delhi,South Delhi
PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,Bihar,Gopalganj
SADHU CHARAN PAUL,Independent,Jharkhand,Jamshedpur
ADVOCATE DR. MAHENDER   SINGH CHURIYANA,Bahujan Dravida Party,NCT OF Delhi,North-West Delhi
ANAND KUMAR GAUTAM,Independent,Uttar Pradesh,Sant Kabir Nagar
NAVEEN KUMAR COMMANDO,Independent,Haryana,SIRSA
SUKUMAR SOREN,Bharat Adivasi Party,Jharkhand,Jamshedpur
ADITI,Independent,NCT OF Delhi,North-West Delhi
BHARAT BHUSHAN KOLI,Rashtra Nirman Party,Haryana,FARIDABAD
GANGADEEN,Communist Party of India,Uttar Pradesh,Lalganj
SADANAND RANBIDA,Bahujan Samaj Party,Odisha,Sambalpur
LALITESHPATI TRIPATHI,All India Trinamool Congress,Uttar Pradesh,Bhadohi
LILU RAM ASAKHERA,Bahujan Samaj Party,Haryana,SIRSA
DEVKANT MISHRA,Independent,Bihar,Siwan
ANJAN (BABALU) MANDAL,Bahujan Samaj Party,West Bengal,Medinipur
LOVELY ANAND,Janata Dal  (United),Bihar,Sheohar
DHEERAJ SRIVASTAV,Pragatisheel Samaj Party,Uttar Pradesh,Sant Kabir Nagar
CHAMAN LAL VERMA,Samaj Vikas Kranti Party,NCT OF Delhi,West Delhi
DR. RAJESH KUMAR SINGH,Independent,NCT OF Delhi,North-East Delhi
BHUPENDER SINGH MALIK,Jannayak Janta Party,Haryana,SONIPAT
MANOJ TIWARI,Bharatiya Janata Party,NCT OF Delhi,North-East Delhi
RAJENDRA YADAV URF COLONEL SAHAB,Sarvjan Awaz Party,Uttar Pradesh,Sant Kabir Nagar
CHARANJEET SINGH,All India Forward Bloc,NCT OF Delhi,West Delhi
PERWEZ NEYYAR,Aazad Samaj Party (Kanshi Ram),Jharkhand,Dhanbad
MAHESH KUMAR DENWAL,Ambedkarite Party of India,NCT OF Delhi,New Delhi
GIRRAJ,Independent,Haryana,FARIDABAD
URMILA,Samaj Parivartan Party,Uttar Pradesh,Machhlishahr
JOGINDER RAM,Independent,Haryana,SIRSA
AKESHAN DUT,Independent,NCT OF Delhi,North-East Delhi
SUDHANSU SEKHAR DAS,Independent,Odisha,Bhubaneswar
PRAWEEN KACHHAP,Sampoorna Bharat Kranti Party,Jharkhand,Ranchi
SATYA PRAKASH UTTRAKHANDI,Independent,NCT OF Delhi,North-West Delhi
YUGAL KISHOR SHUKLA,Aam Janta Party (India),Uttar Pradesh,Shrawasti
NIPU SINGH,Rashtriya Jansangharsh Swaraj Party,Jharkhand,Ranchi
AKASH SRIVASTAV,Jai Hind National Party,NCT OF Delhi,North-East Delhi
BABITA YADAV,Aazad Samaj Party (Kanshi Ram),NCT OF Delhi,North-East Delhi
KAMESHWAR PRASAD SAW,Independent,Jharkhand,Ranchi
DILIP KU SINGH,Bahujan Samaj Party,Bihar,Siwan
KAMESHWAR PRASAD SAW,Independent,Jharkhand,Ranchi
SARWESHWARI SAHU,Ekam Sanatan Bharat Dal,Jharkhand,Ranchi
PAPPU KUMAR NISHAD,Bhartiya Lokmat Rashtrwadi Party,Jharkhand,Giridih
RITESH PANDEY,Bharatiya Janata Party,Uttar Pradesh,Ambedkar Nagar
RAM MILAN,Sardar Patel Siddhant Party,Uttar Pradesh,Machhlishahr
KAMALESH MAHATA,Independent,West Bengal,Medinipur
DILLIP KUMAR BARAL,Independent,Odisha,Puri
DILLIP KUMAR BARAL,Independent,Odisha,Puri
RAJESH GAUTAM,Independent,Haryana,FARIDABAD
REZAUL HAQUE,Lokhit Adhikar Party,Jharkhand,Dhanbad
BHUNESHWAR BEDIYA,Samata Party,Jharkhand,Hazaribagh
SONAMANI TUDU,Communist Party of India  (Marxist),West Bengal,Jhargram
VINAY,Independent,Haryana,ROHTAK
SHAMBHU PRASAD,Independent,Bihar,Valmiki Nagar
GEETA RANI SHARMA,Independent,Uttar Pradesh,Allahabad
VINOD KUMAR RANA,Independent,Jharkhand,Hazaribagh
KAMASHEVAR PRA. VERMA,Independent,Jharkhand,Dhanbad
JARNAIL SINGH,Independent,NCT OF Delhi,West Delhi
MOHAMMAD ARMAN MOHAMMAD WASI KHAN,Rashtriya Janhit Sangharsh Party,Maharashtra,Mumbai North East
KAMASHEVAR PRA. VERMA,Independent,Jharkhand,Dhanbad
ANIRUDDH KUMAR,Communist Party of India,Jharkhand,Hazaribagh
NANDESH VITHAL UMAP,Bahujan Samaj Party,Maharashtra,Mumbai North East
JAGDISH RAWANI,Independent,Jharkhand,Dhanbad
MOHAMMED AHMED SHAIKH,Independent,Maharashtra,Mumbai North East
ARSHAD AYUB,Independent,Jharkhand,Ranchi
SANJAY B. PATIL,National People's Party,Maharashtra,Mumbai North East
CHANDRESHWAR MISHRA,Independent,Bihar,Valmiki Nagar
DAULAT KADAR KHAN,Vanchit Bahujan  Aaghadi,Maharashtra,Mumbai North East
MINTU PASWAN,Socialist Unity Centre Of India (COMMUNIST),Jharkhand,Ranchi
VIDYA NAIK,Independent,Maharashtra,Mumbai North East
RAVIDAS MEHROTRA,Samajwadi Party,Uttar Pradesh,Lucknow
BHISHMA SHANKAR ALIAS KUSHAL TIWARI,Samajwadi Party,Uttar Pradesh,Domariyaganj
SANJAY PATIL,Independent,Maharashtra,Mumbai North East
DINESH AGRAWAL,Independent,Bihar,Valmiki Nagar
RAJIV KANT MISHRA,Independent,NCT OF Delhi,West Delhi
SAHADAT ANSARI,Independent,Jharkhand,Kodarma
DINESH AGRAWAL,Independent,Bihar,Valmiki Nagar
RAJ NATH SINGH,Bharatiya Janata Party,Uttar Pradesh,Lucknow
RAMANATH ORANG,Independent,West Bengal,Jhargram
RAMESHWAR PRASAD YADAV,Independent,Jharkhand,Kodarma
ANNPURNA DEVI,Bharatiya Janata Party,Jharkhand,Kodarma
MAKHAN LAL MAHAPATRA,Bahujan Samaj Party,West Bengal,Kanthi
SITAN RABIDAS,Bahujan Samaj Party,Jharkhand,Kodarma
JAI PRAKASH VERMA,Independent,Jharkhand,Kodarma
MD. SAGIR,Independent,Jharkhand,Kodarma
PRITHVI NATH SINGH,Bharatiya Sampuran Krantikari Party,NCT OF Delhi,New Delhi
PARSHURAM SAH,Independent,Bihar,Valmiki Nagar
SURENDRA KUMAR AGRAWAL,Independent,Jharkhand,Kodarma
SURENDRA KUMAR AGRAWAL,Independent,Jharkhand,Kodarma
SURENDRA KUMAR AGRAWAL,Independent,Jharkhand,Kodarma
PRAVEEN KHANDELWAL,Bharatiya Janata Party,NCT OF Delhi,Chandni Chowk
ANINDITA DAS,Independent,Jharkhand,Dhanbad
JITLAL KISKU,Independent,Jharkhand,Kodarma
DEVENDER KADIAN,Jannayak Janta Party,Haryana,KARNAL
AJAY KRISHNA,Moolniwasi Samaj Party,Jharkhand,Kodarma
ANINDITA DAS,Independent,Jharkhand,Dhanbad
PAWAN KUMAR,Independent,Bihar,Purvi Champaran
JAYNARAYAN DAS,Bahujan Mukti Party,Jharkhand,Kodarma
PAWAN KUMAR,Independent,Bihar,Purvi Champaran
JITLAL KISKU,Independent,Jharkhand,Kodarma
MANOJ KUMAR BEDIA,Independent,Jharkhand,Hazaribagh
RAHUL SHARMA,Rashtriya Mangalam Party,NCT OF Delhi,Chandni Chowk
