name,party_name,state,constituency
DINESH KUMAR BHATI,Independent,Himachal Pradesh,MANDI
PRIYAMA DAS,Independent,West Bengal,Basirhat
MUNNA KUMAR,Samajwadi Lok Parishad,Bihar,Nalanda
SATYENDRA,Bahujan Samaj Party,Uttar Pradesh,Chandauli
RAFIK ANSARI,Independent,Uttar Pradesh,Deoria
ANISUR RAHAMAN SK,Independent,West Bengal,Diamond harbour
MURLI DHAR,Independent,Uttar Pradesh,Bansgaon
JITENDRA KUMAR,Independent,Uttar Pradesh,Robertsganj
PARWINDER SINGH,Independent,Punjab,Bathinda
NAVEEN KUMAR SHARMA,Sanjhi Virasat Party,Punjab,Khadoor Sahib
AJIT MARANDI,Rashtriya Jansambhavna Party,Jharkhand,Rajmahal
KAJAL NISHAD,Samajwadi Party,Uttar Pradesh,Gorakhpur
SANDESH,Bahujan Samaj Party,Uttar Pradesh,Deoria
KANGNA RANAUT,Bharatiya Janata Party,Himachal Pradesh,MANDI
RAJENDRA CHAUDHARY,Independent,Uttar Pradesh,Bansgaon
ANAND KUMAR YADAV,Bharatheeya Jawan Kisan Party,Uttar Pradesh,Gorakhpur
RINKI SINGH,Apna Dal (Soneylal),Uttar Pradesh,Robertsganj
MUNILAL YADAV,Independent,Bihar,Jahanabad
UMESH KUMAR,Independent,Punjab,Firozpur
GOPAL SINGH,Azad Adhikar Sena,Uttar Pradesh,Ghosi
DIPENDU HAZRA,Independent,West Bengal,Kolkata Dakshin
RAJEEV KUMAR RAI,Samajwadi Party,Uttar Pradesh,Ghosi
ANKIT SHAH,Bharatiya Yuva Jan Ekta Party,Uttar Pradesh,Gorakhpur
PRAKASH KUMAR,Independent,Uttar Pradesh,Ballia
ANKUSH JINDAL,Independent,Punjab,Bathinda
BALWANT SINGH,Nationalist Justice Party,Punjab,Firozpur
KULWANT KAUR,Sanjhi Virasat Party,Punjab,Faridkot
CHANDESHWAR PRASAD,Independent,Bihar,Jahanabad
SHEKH IMANUR RAHMAN,Independent,West Bengal,Dum dum
SINDHUPADA BAIRAGI,Independent,West Bengal,Joynagar
KULDIP RAI,Independent,Chandigarh,Chandigarh
DILDAR MASIH,Shiromani Lok Dal Party,Punjab,Amritsar
PRAKASH KUMAR,Independent,Uttar Pradesh,Ballia
MRIDUL OJHA,Independent,West Bengal,Kolkata Dakshin
RAMESH KUMAR,Bharatheeya Jawan Kisan Party,Punjab,Gurdaspur
SUNIL KUMAR DUBEY,Bhartiya Jagaran Party,Bihar,Buxar
SURINDER KUMAR BANSAL,Independent,Punjab,Firozpur
RAVNEET SINGH,Bharatiya Janata Party,Punjab,Ludhiana
ANAND MISHRA,Independent,Bihar,Buxar
SUKALU,Rakshak Jan Morcha Party,Uttar Pradesh,Robertsganj
NIRMAL SINGH RAJEANA,Independent,Punjab,Faridkot
HIRAK SINHA,Independent,West Bengal,Dum dum
SURJIT SINGH,Independent,Punjab,Khadoor Sahib
RANJANA,Independent,Uttar Pradesh,Ballia
SAHIL MONGA,Independent,Punjab,Firozpur
RAJIV KUMAR,Jan Sewa Driver Party,Punjab,Ludhiana
GURPREET SINGH RATTAN,Republican Party of India (Athawale),Punjab,Amritsar
SIMRANPREET SINGH,Independent,Punjab,Amritsar
SUMESHWAR,Independent,Uttar Pradesh,Ballia
SUSANTA MONDAL,Independent,West Bengal,Kolkata Dakshin
RAJIV KUMAR SINGH,Independent,Uttar Pradesh,Ghosi
AVADHESH VERMA,Bahujan Mukti Party,Uttar Pradesh,Ballia
BALWINDER SINGH,Republican Party of India (Athawale),Punjab,Firozpur
SANTOSH KUMAR,Bahujan Mukti Party,Uttar Pradesh,Chandauli
KISHOR KUMAR,Independent,Chandigarh,Chandigarh
DADAN YADAV,Independent,Bihar,Buxar
DADAN YADAV,Independent,Bihar,Buxar
PANKAJ CHAUDHARY,Bharatiya Janata Party,Uttar Pradesh,Maharajganj
SUNIL KUMAR,Independent,Chandigarh,Chandigarh
MANINDR,Independent,Uttar Pradesh,Ballia
RAMESH LAL,Independent,Punjab,Jalandhar
BALWINDER SINGH,Independent,Punjab,Amritsar
SANTOSH KUMARI,Megh Desham Party,Punjab,Gurdaspur
SHSHNATH,Independent,Uttar Pradesh,Ballia
EMAAN SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Punjab,Amritsar
SUJAN SARDAR,Independent,West Bengal,Joynagar
MUMTAZ ALI,Independent,West Bengal,Kolkata Dakshin
SAMEER SINGH,All India Forward Bloc,Uttar Pradesh,Mirzapur
SILI MALLICK,Samruddha Odisha,Odisha,Jagatsinghpur
GURJEET SINGH AUJLA,Indian National Congress,Punjab,Amritsar
VIJAY KUMAR,Independent,Punjab,Khadoor Sahib
NEELAM,Independent,Punjab,Amritsar
RAM NIRANJAN ROY,Rashtrawadi Chetna Party,Bihar,Patliputra
BALJEET SINGH,Independent,Chandigarh,Chandigarh
SUKHJEET KAUR,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Punjab,Bathinda
VINAY PRATAP SINGH,Rashtriya Sanatan Party,Bihar,Nalanda
PREM CHAND,Punjab National Party,Punjab,Firozpur
SUDHIR KUMAR TRIPATHI,Independent,Punjab,Ludhiana
PARAMJIT KAUR,Independent,Punjab,Amritsar
BIDYADHAR DALEI,Ambedkarite Party of India,Odisha,Jajpur
KULWANT SINGH,Independent,Punjab,Bathinda
NIRANJAN KUMAR RAI,Independent,Bihar,Buxar
RANDHIR LAL,Independent,Bihar,Arrah
AMRISH BHAGAT,Independent,Punjab,Jalandhar
GAGANDEEP,Independent,Punjab,Amritsar
SARABJIT SINGH,Independent,Punjab,Khadoor Sahib
SUBHASH MOHAN SNEHI,Independent,Himachal Pradesh,MANDI
RAJ,Independent,Punjab,Firozpur
RAM ASARE SINGH,Peoples Party of India (Democratic),Bihar,Arrah
VIRENDRA CHAUDHARY,Indian National Congress,Uttar Pradesh,Maharajganj
ROHTASH,Independent,Punjab,Anandpur Sahib
RAJU NARU,Bharatiya Nyay-Adhikar Raksha Party,West Bengal,Jadavpur
JASAKARAN SINGH SIDHU,Independent,Punjab,Firozpur
GURMIT SINGH,Independent,Punjab,Anandpur Sahib
RAKHEE GUPTA,Independent,Himachal Pradesh,MANDI
GURPREET SINGH,Aam Aadmi Party,Punjab,Fatehgarh Sahib
BHAIRABA PRASAD BEHERA,Independent,Odisha,Jajpur
DHARAMVIRA GANDHI,Indian National Congress,Punjab,Patiala
SIMPLE KUMAR,Independent,Punjab,Anandpur Sahib
CHANDI,Independent,Punjab,Ludhiana
HEMLATA,Jagrook Janta Party,Bihar,Buxar
