Sl.No,State,Constituency,Electors,% Poll,Total Votes,Phase,Poll,Date
521,Uttar Pradesh,Kushi Nagar,1875222,0.5757,1079565,7,57.57,01-06-2024
522,Uttar Pradesh,Maharajganj,2004050,0.6031,1208643,7,60.31,01-06-2024
523,Uttar Pradesh,Mirzapur,1906327,0.5792,1104145,7,57.92,01-06-2024
524,Uttar Pradesh,Robertsganj,1779189,0.5678,1010224,7,56.78,01-06-2024
525,Uttar Pradesh,Salempur,1776982,0.5138,913013,7,51.38,01-06-2024
526,Uttar Pradesh,Varanasi,1997578,0.5649,1128432,7,56.49,01-06-2024
527,West Bengal,Barasat,1905400,0.8018,1527750,7,80.18,01-06-2024
528,West Bengal,Basirhat,1804261,0.8431,1521172,7,84.31,01-06-2024
529,West Bengal,Diamond harbour,1880779,0.8104,1524183,7,81.04,01-06-2024
530,West Bengal,Dum dum,1699656,0.7381,1254516,7,73.81,01-06-2024
531,West Bengal,Jadavpur,2033525,0.7668,1559307,7,76.68,01-06-2024
532,West Bengal,Joynagar,1844780,0.8008,1477300,7,80.08,01-06-2024
533,West Bengal,Kolkata Dakshin,1849520,0.6695,1238254,7,66.95,01-06-2024
534,West Bengal,Kolkata Uttar,1505356,0.6359,957256,7,63.59,01-06-2024
535,West Bengal,Mathurapur,1817068,0.8202,1490359,7,82.02,01-06-2024
536,Punjab,Gurudaspur,1605204,0.6667,1070190,7,66.67,01-06-2024
537,Punjab,Hoshiarpur,1601826,0.5886,942835,7,58.86,01-06-2024
538,Punjab,Jalandhar,1654005,0.597,987441,7,59.7,01-06-2024
539,Punjab,Khadoor Sahib,1667797,0.6255,1043207,7,62.55,01-06-2024
540,Punjab,Ludhiana,1758614,0.6012,1057279,7,60.12,01-06-2024
541,Punjab,Patiala,1806424,0.6363,1149428,7,63.63,01-06-2024
542,Punjab,Sangrur,1556601,0.6463,1006031,7,64.63,01-06-2024
