Sl.No,State,Constituency,Electors,% Poll,Total Votes,Phase,Poll,Date
178,Rajasthan,UDAIPUR,2230971,66.66,1487268,2,66.66,26-04-2024
179,Tripura,Tripura East,1396761,80.36,1122424,2,80.36,26-04-2024
180,Uttar Pradesh,Aligarh,1997234,56.93,1137051,2,56.93,26-04-2024
181,Uttar Pradesh,Amroha,1716641,64.58,1108579,2,64.58,26-04-2024
182,Uttar Pradesh,Baghpat,1653146,56.16,928392,2,56.16,26-04-2024
183,Uttar Pradesh,Bulandshahr,1859462,56.42,1049189,2,56.42,26-04-2024
184,Uttar Pradesh,Gautam Buddha Nagar,2675148,53.63,1434667,2,53.63,26-04-2024
185,Uttar Pradesh,Ghaziabad,2945487,49.88,1469260,2,49.88,26-04-2024
186,Uttar Pradesh,Mathura,929550,49.41,953388,2,49.41,26-04-2024
187,Uttar Pradesh,Meerut,3000530,58.94,1179121,2,58.94,26-04-2024
188,West Bengal,Balurghat,1561966,79.09,1235347,2,79.09,26-04-2024
189,West Bengal,Darjelling,1765744,74.76,1320072,2,74.76,26-04-2024
190,West Bengal,Raiganj,1790245,76.18,1363854,2,76.18,26-04-2024
191,Assam,Barpeta,1966847,85.24,1676633,3,85.24,07-05-2024
192,Assam,Dhubri,2660827,92.08,2450041,3,92.08,07-05-2024
193,Assam,Guwahati,2036846,78.39,1596664,3,78.39,07-05-2024
194,Assam,Kokrajhar,1484571,83.55,1240306,3,83.55,07-05-2024
195,Bihar,Araria,2018767,61.93,1250261,3,61.93,07-05-2024
196,Bihar,Jhanjharpur,2003040,54.48,1091258,3,54.48,07-05-2024
197,Bihar,Khagaria,1840217,57.52,1058539,3,57.52,07-05-2024
198,Bihar,Madhepura,2071166,58.29,1207368,3,58.29,07-05-2024
199,Bihar,Supaul,1927207,63.55,1224821,3,63.55,07-05-2024
200,Chhattisgarh,BILASPUR,2102687,64.77,1361871,3,64.77,07-05-2024
201,Chhattisgarh,DURG,2090414,73.68,1540193,3,73.68,07-05-2024
202,Chhattisgarh,JANJGIR-CHAMPA,2056047,67.56,1389012,3,67.56,07-05-2024
203,Chhattisgarh,KORBA,1618864,75.63,1224268,3,75.63,07-05-2024
204,Chhattisgarh,RAIGARH,1838547,78.85,1449673,3,78.85,07-05-2024
205,Chhattisgarh,RAIPUR,2375379,66.82,1587116,3,66.82,07-05-2024
206,Chhattisgarh,SURGUJA,1819347,79.89,1453444,3,79.89,07-05-2024
207,Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli,283024,72.52,205248,3,72.52,07-05-2024
208,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,134189,68.77,92279,3,68.77,07-05-2024
209,Goa,North Goa,580577,77.69,451042,3,77.69,07-05-2024
210,Goa,South Goa,598767,74.47,445916,3,74.47,07-05-2024
211,Gujarat,Ahmedabad East,2038162,54.72,1115317,3,54.72,07-05-2024
212,Gujarat,Ahmedabad West,1726987,55.45,957573,3,55.45,07-05-2024
213,Gujarat,Amreli,1732810,50.29,871373,3,50.29,07-05-2024
214,Gujarat,Anand,1780182,65.04,1157763,3,65.04,07-05-2024
215,Gujarat,Banaskantha,1961924,69.62,1365989,3,69.62,07-05-2024
216,Gujarat,Bardoli,2048408,64.81,1327669,3,64.81,07-05-2024
217,Gujarat,Bharuch,1723353,69.16,1191877,3,69.16,07-05-2024
218,Gujarat,Bhavnagar,1916900,53.92,1033629,3,53.92,07-05-2024
219,Gujarat,Chhota Udaipur,1821708,69.15,1259760,3,69.15,07-05-2024
220,Gujarat,Dahod,1875136,59.31,1112211,3,59.31,07-05-2024
221,Gujarat,Gandhinagar,2182736,59.8,1305197,3,59.8,07-05-2024
222,Gujarat,Jamnagar,1817864,57.67,1048410,3,57.67,07-05-2024
223,Gujarat,Junagadh,1795110,58.91,1057462,3,58.91,07-05-2024
224,Gujarat,Kachchh,1943136,56.14,1090878,3,56.14,07-05-2024
225,Gujarat,Kheda,2007404,58.12,1166619,3,58.12,07-05-2024
226,Gujarat,Mahesana,1770617,59.86,1059938,3,59.86,07-05-2024
227,Gujarat,Navsari,2223550,59.66,1326542,3,59.66,07-05-2024
228,Gujarat,Panchmahal,1896743,58.85,1116171,3,58.85,07-05-2024
229,Gujarat,Patan,2019916,58.56,1182950,3,58.56,07-05-2024
230,Gujarat,Porbandar,1768212,51.83,916519,3,51.83,07-05-2024
231,Gujarat,Rajkot,2112273,59.69,1260768,3,59.69,07-05-2024
232,Gujarat,Sabarkantha,1976349,63.56,1256210,3,63.56,07-05-2024
233,Gujarat,Surendranagar,2033419,55.09,1120128,3,55.09,07-05-2024
234,Gujarat,Vadodara,1949573,61.59,1200768,3,61.59,07-05-2024
235,Gujarat,Valsad,1859974,72.71,1352413,3,72.71,07-05-2024
236,Karnataka,Bagalkot,1806183,72.66,1312319,3,72.66,07-05-2024
237,Karnataka,Belgaum,1923788,71.49,1375283,3,71.49,07-05-2024
238,Karnataka,Bellary,1884040,73.59,1386553,3,73.59,07-05-2024
239,Karnataka,Bidar,1892962,65.47,1239358,3,65.47,07-05-2024
240,Karnataka,Bijapur,1946090,66.32,1290719,3,66.32,07-05-2024
241,Karnataka,Chikkodi,1761694,78.66,1385688,3,78.66,07-05-2024
242,Karnataka,Davanagere,1709244,76.99,1315916,3,76.99,07-05-2024
243,Karnataka,Dharwad,1831975,74.37,1362421,3,74.37,07-05-2024
244,Karnataka,Gulbarga,2098202,62.25,1306119,3,62.25,07-05-2024
245,Karnataka,Haveri,1792774,77.6,1391214,3,77.6,07-05-2024
246,Karnataka,Koppal,1866397,70.99,1324898,3,70.99,07-05-2024
247,Karnataka,Raichur,2010103,64.66,1299806,3,64.66,07-05-2024
248,Karnataka,Shimoga,1752885,78.33,1372949,3,78.33,07-05-2024
249,Karnataka,Uttara Kannada,1641156,76.53,1256027,3,76.53,07-05-2024
250,Madhya Pradesh,BETUL,1895331,73.53,1393608,3,73.53,07-05-2024
251,Madhya Pradesh,BHIND,1900654,54.93,1044022,3,54.93,07-05-2024
252,Madhya Pradesh,BHOPAL,2339411,64.06,1498626,3,64.06,07-05-2024
253,Madhya Pradesh,GUNA,1889551,72.43,1368554,3,72.43,07-05-2024
254,Madhya Pradesh,GWALIOR,2154601,62.13,1338708,3,62.13,07-05-2024
255,Madhya Pradesh,MORENA,2006730,58.97,1183282,3,58.97,07-05-2024
256,Madhya Pradesh,RAJGARH,1875211,76.04,1425911,3,76.04,07-05-2024
257,Madhya Pradesh,SAGAR,1745690,65.75,1147866,3,65.75,07-05-2024
258,Madhya Pradesh,VIDISHA,1945404,74.48,1449010,3,74.48,07-05-2024
259,Maharashtra,Baramati,2372668,59.5,1411621,3,59.5,07-05-2024
260,Maharashtra,Hatkanangale,1814277,71.11,1290073,3,71.11,07-05-2024
261,Maharashtra,Kolhapur,1936403,71.59,1386230,3,71.59,07-05-2024
262,Maharashtra,Latur,1977042,62.59,1237355,3,62.59,07-05-2024
263,Maharashtra,Madha,1991454,63.65,1267530,3,63.65,07-05-2024
264,Maharashtra,Osmanabad,1992737,63.88,1272969,3,63.88,07-05-2024
265,Maharashtra,Raigad,1668372,60.51,1009567,3,60.51,07-05-2024
266,Maharashtra,Ratnagiri Sindhudurg,1451630,62.52,907618,3,62.52,07-05-2024
267,Maharashtra,Sangli,1868174,62.27,1163353,3,62.27,07-05-2024
268,Maharashtra,Satara,1889740,63.16,1193492,3,63.16,07-05-2024
269,Maharashtra,Solapur,2030119,59.19,1201586,3,59.19,07-05-2024
270,Uttar Pradesh,Agra,2072685,54.08,1120864,3,54.08,07-05-2024
271,Uttar Pradesh,Aonla,1891713,57.44,1086687,3,57.44,07-05-2024
272,Uttar Pradesh,Badaun,2008758,54.35,1091697,3,54.35,07-05-2024
273,Uttar Pradesh,Bareilly,1924434,58.03,1116749,3,58.03,07-05-2024
274,Uttar Pradesh,Etah,1700524,59.31,1008533,3,59.31,07-05-2024
275,Uttar Pradesh,Fatehpur Sikri,1798823,57.19,1028791,3,57.19,07-05-2024
276,Uttar Pradesh,Firozabad,1890772,58.53,1106747,3,58.53,07-05-2024
277,Uttar Pradesh,Hathras,1938080,55.71,1079731,3,55.71,07-05-2024
278,Uttar Pradesh,Mainpuri,1790797,58.73,1051758,3,58.73,07-05-2024
279,Uttar Pradesh,Sambhal,1898202,62.91,1194209,3,62.91,07-05-2024
280,West Bengal,Jangipur,1805360,75.72,1367014,3,75.72,07-05-2024
281,West Bengal,Maldaha Dakshin,1782159,76.69,1366728,3,76.69,07-05-2024
282,West Bengal,Maldaha Uttar,1862035,76.03,1415718,3,76.03,07-05-2024
283,West Bengal,Murshidabad,1888097,81.52,1539112,3,81.52,07-05-2024
284,Andhra Pradesh,Amalapuram,1531410,83.85,1284018,4,83.85,13-05-2024
285,Andhra Pradesh,Anakapalle,1596916,82.03,1309977,4,82.03,13-05-2024
286,Andhra Pradesh,Ananthapur,1767591,80.51,1423108,4,80.51,13-05-2024
287,Andhra Pradesh,Araku,1554633,73.68,1145426,4,73.68,13-05-2024
288,Andhra Pradesh,Bapatla,1506354,85.48,1287704,4,85.48,13-05-2024
289,Andhra Pradesh,Chittoor,1640202,85.77,1406880,4,85.77,13-05-2024
290,Andhra Pradesh,Eluru,1637430,83.68,1370153,4,83.68,13-05-2024
291,Andhra Pradesh,Guntur,1791543,78.81,1411989,4,78.81,13-05-2024
292,Andhra Pradesh,Hindupur,1656775,84.7,1403259,4,84.7,13-05-2024
293,Andhra Pradesh,Kadapa,1639066,79.57,1304256,4,79.57,13-05-2024
294,Andhra Pradesh,Kakinada,1634122,80.3,1312255,4,80.3,13-05-2024
295,Andhra Pradesh,Kurnoolu,1722857,76.8,1323071,4,76.8,13-05-2024
296,Andhra Pradesh,Machilipatnam,1539460,84.05,1293935,4,84.05,13-05-2024
297,Andhra Pradesh,Nandyal,1721013,80.61,1387367,4,80.61,13-05-2024
298,Andhra Pradesh,Narsapuram,1472923,82.59,1216550,4,82.59,13-05-2024
299,Andhra Pradesh,Narsaraopet,1734858,85.65,1485909,4,85.65,13-05-2024
300,Andhra Pradesh,Nellore,1712274,79.05,1353563,4,79.05,13-05-2024
301,Andhra Pradesh,Ongole,1607832,87.06,1399707,4,87.06,13-05-2024
302,Andhra Pradesh,Rajahmundry,1623149,80.93,1313630,4,80.93,13-05-2024
303,Andhra Pradesh,Rajampet,1665702,79.09,1317448,4,79.09,13-05-2024
304,Andhra Pradesh,Srikakulam,1631174,74.43,1214128,4,74.43,13-05-2024
305,Andhra Pradesh,Thirupathi(SC),1729832,79.1,1368362,4,79.1,13-05-2024
306,Andhra Pradesh,Vijayawada,1704077,79.37,1352495,4,79.37,13-05-2024
307,Andhra Pradesh,Visakhapatnam,1927303,71.11,1370484,4,71.11,13-05-2024
308,Andhra Pradesh,Vizianagaram,1585206,81.05,1284886,4,81.05,13-05-2024
309,Bihar,Begusarai,2196089,58.7,1289076,4,58.7,13-05-2024
310,Bihar,Darbhanga,1781356,57.37,1021962,4,57.37,13-05-2024
311,Bihar,Munger,2042279,55.55,1134548,4,55.55,13-05-2024
312,Bihar,Samastipur,1818530,60.11,1093182,4,60.11,13-05-2024
313,Bihar,Ujiarpur,1745408,59.59,1040026,4,59.59,13-05-2024
314,Jammu and Kashmir,SRINAGAR,1747810,38.49,672653,4,38.49,13-05-2024
315,Jharkhand,Khunti,1326138,69.93,927422,4,69.93,13-05-2024
316,Jharkhand,Lohardaga,1441302,66.45,957690,4,66.45,13-05-2024
317,Jharkhand,Palamau,2243034,61.27,1374358,4,61.27,13-05-2024
318,Jharkhand,Singhbhum,1447562,69.32,1003482,4,69.32,13-05-2024
319,Madhya Pradesh,DEWAS,1940472,75.48,1464690,4,75.48,13-05-2024
