party_id,cand_id,name,party_name
IND,cand4945,PRITESH CHAUHAN (LALU),Independent
IND,cand5296,PUNJABHAI BAVBHAI DAFDA,Independent
GRP2,cand5526,SANKHAT VIKRAMBHAI VISABHAI,Global Republican Party
BJP,cand5570,BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party
IND,cand5678,BAVKUBHAI AMARUBHAI VALA,Independent
IND,cand5718,BHAVESHBHAI JENTIBHAI RANK,Independent
INC,cand5827,JENNY THUMMAR,Indian National Congress
BSP,cand5864,CHAUHAN RAVAJIBHAI MULABHAI,Bahujan Samaj Party
NOTA,cand9173,None of the Above,NOTA
