party_id,cand_id,name,party_name
BSP,cand7381,KUMBHALKAR SANJAY BHAIYY,Bahujan Samaj Party
PPID,cand7390,DEVILAL SUKHRAM NEPALE,Peoples Party of India (Democratic)
IND,cand7398,BENIRAM RAMCHAND FULBANDHE,Independent
INC,cand7400,DR. PRASHANT YADAORAO PADOLE,Indian National Congress
ABPP2,cand7432,AJAYKUMAR BHARTIYA,Akhil Bhartiya Parivar Party
IND,cand7494,PRADEEP  DHOBALE,Independent
VBA2,cand7556,SANJAY GAJANAN KEWAT,Vanchit Bahujan  Aaghadi
BJP,cand7582,SUNIL BABURAO MENDHE,Bharatiya Janata Party
IND,cand7610,TULSIRAM URKUDA GEDAM,Independent
IND,cand7657,CHAITRAM DASHARATH KOKASE,Independent
LSP5,cand7787,VILAS BABURAO LENDE,Lok Swarajya Party
IND,cand7879,SURYAKIRAN ISHWAR NANDAGAWALI,Independent
IND,cand8029,ITWALE SHARAD MARTAND,Independent
IND,cand8168,SEWAKBHAU NIRDHAN WAGHAYE,Independent
IND,cand8453,VIRENDRAKUMAR KASTURCHAND JAISWAL,Independent
IND,cand8459,VIRENDRAKUMAR KASTURCHAND JAISWAL,Independent
IND,cand8509,SUMIT VIJAY PANDE,Independent
IND,cand8573,AJAYKUMAR BHARTIYA,Independent
IND,cand8629,VILAS JIYALAL RAUT,Independent
IND,cand9016,DR. AKASH MADHUKAR JIBHAKATE,Independent
NOTA,cand9173,None of the Above,NOTA
