party_id,cand_id,name,party_name
BJP,cand2712,C.M.RAMESH,Bharatiya Janata Party
IND,cand2867,JUNNURI J SRINIVAS,Independent
IND,cand2916,JUNNURI J SRINIVAS,Independent
IND,cand2922,NAGESWARA RAO PETLA,Independent
DABAP,cand3598,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party
IND,cand3649,GARA SURYA RAO,Independent
INC,cand3739,VEGI VENKATESH,Indian National Congress
IND,cand3845,DR. THUMMAPALA HARI  SHANKAR,Independent
YSRCP,cand3922,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party
BSP,cand3940,PALAKA SREERAMA MURTHY,Bahujan Samaj Party
IND,cand3948,APPALANAIDU TUMMAGUNTA,Independent
BCYP2,cand3961,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party
PPOI,cand4058,VIJAYA LAKSHMI KARRI,Pyramid Party of India
IND,cand4373,LOVARAJU SIDDHA,Independent
IND,cand4399,VANKAYALA RAMACHANDRA RAO,Independent
JBNP2,cand4501,ADARI SARAT CHANDRA,Jai Bharat National Party
NOTA,cand9173,None of the Above,NOTA
