Candidate,Party,Status,State,Constituency
CHANDESHWAR PRASAD, Janata Dal  (United), Accepted, Bihar, Jahanabad
DHANANJAY KUMAR TIWARI, Bhartiya Lokvani Party, Accepted, Uttar Pradesh, Ghazipur
PRATIK UR RAHAMAN, Communist Party of India  (Marxist), Accepted, West Bengal, Diamond harbour
PRATIK UR RAHAMAN, Communist Party of India  (Marxist), Accepted, West Bengal, Diamond harbour
JAI PARKASH JAIN, Independent, Accepted, Punjab, Ludhiana
PRATIK UR RAHAMAN, Communist Party of India  (Marxist), Accepted, West Bengal, Diamond harbour
PRATIK UR RAHAMAN, Communist Party of India  (Marxist), Accepted, West Bengal, Diamond harbour
DR. SANDEEP SAURAV, Communist Party of India  (Marxist-Leninist)  (Liberation), Accepted, Bihar, Nalanda
SWAMI NATH KORI, Bahujan Samaj Party, Accepted, West Bengal, Dum dum
DR. SANDEEP SAURAV, Communist Party of India  (Marxist-Leninist)  (Liberation), Accepted, Bihar, Nalanda
HARJINDER SINGH, Independent, Accepted, Punjab, Khadoor Sahib
PREM CHAND, Pragatisheel Manav Samaj Party, Accepted, Uttar Pradesh, Ghosi
JASVIR SINGH BATHINDA, Aazad Samaj Party (Kanshi Ram), Accepted, Punjab, Bathinda
UMA SHANKAR VERMA, Socialist Unity Centre Of India (COMMUNIST), Accepted, Bihar, Jahanabad
MAKHAN SINGH, Bahujan Samaj Party, Accepted, Punjab, Sangrur
AJIT SINGH, Independent, Accepted, Punjab, Khadoor Sahib
PAWAN KUMAR CHAUHAN, Independent, Accepted, Uttar Pradesh, Ghosi
HEM RAJ, Bahujan Samaj Party, Accepted, Himachal Pradesh, HAMIRPUR
HEM RAJ, Bahujan Samaj Party, Accepted, Himachal Pradesh, HAMIRPUR
HEM RAJ, Bahujan Samaj Party, Accepted, Himachal Pradesh, HAMIRPUR
MALAY GUHA ROY, Independent, Accepted, West Bengal, Diamond harbour
NARAIN SINGH DOGRA, Himachal Janta Party, Accepted, Himachal Pradesh, KANGRA
ARVINDER KUMAR, Independent, Accepted, Punjab, Patiala
KULBIR SINGH ZIRA, Indian National Congress, Accepted, Punjab, Khadoor Sahib
ARJUN CHARAN MALLIK, Bahujan Samaj Party, Accepted, Odisha, Bhadrak
RAVINDER PAL SINGH, Independent, Accepted, Punjab, Ludhiana
SUBRATA BOSE, Independent, Accepted, West Bengal, Diamond harbour
VIJAY, Socialist Unity Centre Of India (COMMUNIST), Accepted, Uttar Pradesh, Ghosi
HARBHAJAN SINGH, Aazad Samaj Party (Kanshi Ram), Accepted, Punjab, Sangrur
PAWAN KUMAR CHAUHAN, Independent, Accepted, Uttar Pradesh, Ghosi
SAYANI GHOSH, All India Trinamool Congress, Accepted, West Bengal, Jadavpur
SAYANI GHOSH, All India Trinamool Congress, Accepted, West Bengal, Jadavpur
SAYANI GHOSH, All India Trinamool Congress, Accepted, West Bengal, Jadavpur
GURCHARAN SINGH MANN, Communist Party of India, Accepted, Punjab, Faridkot
RABINDRA KUMAR SETHY, Indian National Congress, Accepted, Odisha, Jagatsinghpur
RABINDRA KUMAR SETHY, Indian National Congress, Accepted, Odisha, Jagatsinghpur
RABINDRA KUMAR SETHY, Indian National Congress, Accepted, Odisha, Jagatsinghpur
NAIB SINGH, Bharatheeya Jawan Kisan Party, Accepted, Punjab, Bathinda
ANAND SHARMA, Indian National Congress, Accepted, Himachal Pradesh, KANGRA
PAWAN KUMAR, Independent, Accepted, Bihar, Nalanda
HANS RAJ HANS, Bharatiya Janata Party, Accepted, Punjab, Faridkot
KRISHAN KUMAR, Hindustan Shakti Sena, Accepted, Punjab, Patiala
PAWAN KUMAR, Independent, Accepted, Bihar, Nalanda
HANS RAJ HANS, Bharatiya Janata Party, Accepted, Punjab, Faridkot
SURESH KUMAR, Rashtriya Devbhumi Party, Accepted, Himachal Pradesh, SHIMLA
HANS RAJ HANS, Bharatiya Janata Party, Accepted, Punjab, Faridkot
HANS RAJ HANS, Bharatiya Janata Party, Accepted, Punjab, Faridkot
RAMESH KUMAR, Sacho Sach Party, Accepted, Punjab, Amritsar
MANOJ KUMAR, Independent, Accepted, Punjab, Patiala
VINOD KUMAR PATEL, Sardar Patel Siddhant Party, Accepted, Uttar Pradesh, Maharajganj
ABHIJIT DAS (BOBBY), Bharatiya Janata Party, Accepted, West Bengal, Diamond harbour
RUPINDER SINGH KOHARWALA, Nationalist Justice Party, Accepted, Punjab, Faridkot
DAVINDER SINGH, Independent, Accepted, Punjab, Hoshiarpur
VIKRAMADITYA SINGH, Indian National Congress, Accepted, Himachal Pradesh, MANDI
VIKRAMADITYA SINGH, Indian National Congress, Accepted, Himachal Pradesh, MANDI
VIKRAMADITYA SINGH, Indian National Congress, Accepted, Himachal Pradesh, MANDI
SWAMI PRASAD MAURYA, Rashtriya Shoshit Samaj Party, Accepted, Uttar Pradesh, Kushi Nagar
VIKRAMADITYA SINGH, Indian National Congress, Accepted, Himachal Pradesh, MANDI
SWAMI PRASAD MAURYA, Rashtriya Shoshit Samaj Party, Accepted, Uttar Pradesh, Kushi Nagar
SWAMI PRASAD MAURYA, Rashtriya Shoshit Samaj Party, Accepted, Uttar Pradesh, Kushi Nagar
PRADIP BHATTACHARYA, Indian National Congress, Accepted, West Bengal, Kolkata Uttar
PRADIP BHATTACHARYA, Indian National Congress, Accepted, West Bengal, Kolkata Uttar
PRADIP BHATTACHARYA, Indian National Congress, Accepted, West Bengal, Kolkata Uttar
PRADIP BHATTACHARYA, Indian National Congress, Accepted, West Bengal, Kolkata Uttar
PITAMBAR NAIK, Socialist Unity Centre Of India (COMMUNIST), Accepted, Odisha, Mayurbhanj
RAJENDRA RAM, Independent, Accepted, Uttar Pradesh, Ghosi
PARAMJIT SINGH, Independent, Accepted, Punjab, Fatehgarh Sahib
RAJENDRA RAM, Independent, Accepted, Uttar Pradesh, Ghosi
RAJENDRA RAM, Independent, Accepted, Uttar Pradesh, Ghosi
SWAPAN MAJUMDER, Bharatiya Janata Party, Accepted, West Bengal, Barasat
LOVEPREET SHARMA, Aas Punjab Party, Accepted, Punjab, Amritsar
DEEPAK KUMAR, Jagrook Janta Party, Accepted, Bihar, Jahanabad
SRIJAN BHATTACHARYYA, Communist Party of India  (Marxist), Accepted, West Bengal, Jadavpur
MO MAUSME ALAM, Bahujan Samaj Party, Accepted, Uttar Pradesh, Maharajganj
DHARMATMA SHARMA, Socialist Unity Centre Of India (COMMUNIST), Accepted, Bihar, Arrah
JASWANT SINGH, Independent, Accepted, Punjab, Firozpur
JAVED ASHRAF, Bahujan Samaj Party, Accepted, Uttar Pradesh, Gorakhpur
SUKHWINDER SINGH, Independent, Accepted, Punjab, Firozpur
ANAND SHARMA, Indian National Congress, Accepted, Himachal Pradesh, KANGRA
ANAND SHARMA, Indian National Congress, Accepted, Himachal Pradesh, KANGRA
NAVNEET KUMAR, Independent, Accepted, Bihar, Arrah
PINTU SAHANI, Independent, Accepted, Uttar Pradesh, Gorakhpur
SAMARENDRA NATH MONDAL, Revolutionary Socialist Party, Accepted, West Bengal, Joynagar
SAIRA SHAH HALIM, Communist Party of India  (Marxist), Accepted, West Bengal, Kolkata Dakshin
SAIRA SHAH HALIM, Communist Party of India  (Marxist), Accepted, West Bengal, Kolkata Dakshin
SAIRA SHAH HALIM, Communist Party of India  (Marxist), Accepted, West Bengal, Kolkata Dakshin
SAIRA SHAH HALIM, Communist Party of India  (Marxist), Accepted, West Bengal, Kolkata Dakshin
RAJESHWAR PASWAN, Akhil Hind Forward Bloc (Krantikari), Accepted, Bihar, Karakat
RAM GOVIND, Samajhdar Party, Accepted, Uttar Pradesh, Chandauli
KRISHNA PASWAN, Bhartiya Kranti Vir Party, Accepted, Bihar, Arrah
SHOBHANATH, Bhagidari Party(P), Accepted, Uttar Pradesh, Chandauli
MANIKA MUKHERJEE, Bharatiya Nyay-Adhikar Raksha Party, Accepted, West Bengal, Dum dum
PAPPU KUMAR, Independent, Accepted, Punjab, Sangrur
JILE SINGH, Bhartiya Jan Samman Party, Accepted, Punjab, Sangrur
SURENDRA PRASAD YADAV, Rashtriya Janata Dal, Accepted, Bihar, Jahanabad
BALDEV RAJ KATNA, Independent, Accepted, Punjab, Ludhiana
SURENDRA PRASAD YADAV, Rashtriya Janata Dal, Accepted, Bihar, Jahanabad
GURBAKSH SINGH CHAUHAN, Bahujan Samaj Party, Accepted, Punjab, Faridkot
SURENDRA PRASAD YADAV, Rashtriya Janata Dal, Accepted, Bihar, Jahanabad
SURENDRA PRASAD YADAV, Rashtriya Janata Dal, Accepted, Bihar, Jahanabad
SUNIL KUMAR, Bhartiya Jan Samman Party, Accepted, Punjab, Anandpur Sahib
DHANANJAY KUMAR TIWARI, Bhartiya Lokvani Party, Accepted, Uttar Pradesh, Ghazipur
AMARJIT SINGH, Jan Janwadi Party, Accepted, Punjab, Patiala
DHARAMVIRA GANDHI, Indian National Congress, Accepted, Punjab, Patiala
GAGAN PRAKASH, Apna Dal (Kamerawadi), Accepted, Uttar Pradesh, Varanasi
SUKHPAL SINGH KHAIRA, Indian National Congress, Accepted, Punjab, Sangrur
PARTAP SINGH RANA, Independent, Accepted, Chandigarh, Chandigarh
PARAS NATH KESHARI, Rashtriya Samajwadi Jankranti Party, Accepted, Uttar Pradesh, Varanasi
CHHEDI MAJDOOR, Independent, Accepted, Uttar Pradesh, Maharajganj
AMANPREET SINGH, Independent, Accepted, Punjab, Amritsar
DHANJAY KUMAR, Rashtriya Jansambhavna Party, Accepted, Bihar, Patna Sahib
DHARAMVIRA GANDHI, Indian National Congress, Accepted, Punjab, Patiala
SAROJ KUMAR SUMAN, Socialist Unity Centre Of India (COMMUNIST), Accepted, Bihar, Patna Sahib
SHARANJIT KAUR, Independent, Accepted, Punjab, Amritsar
SHAKEEL MOHAMAD, Independent, Accepted, Chandigarh, Chandigarh
RAJ KISHOR SHARMA, Bhartiya Sarthak Party, Accepted, Bihar, Jahanabad
KULWANT SINGH, Bahujan Samaj Party, Accepted, Punjab, Fatehgarh Sahib
VIPAN KUMAR, Independent, Accepted, Punjab, Ludhiana
BAL KRISHAN SHARMA, Independent, Accepted, Punjab, Amritsar
MAHESH KUMAR, Samata Party, Accepted, Bihar, Patna Sahib
RAMNARESH YADAV, Jan Raajya Party, Accepted, Uttar Pradesh, Ghosi
AMANPREET SINGH, Independent, Accepted, Punjab, Sangrur
NEETU, Independent, Accepted, Punjab, Jalandhar
SHRIRAM PRASAD, Al-Hind Party, Accepted, Uttar Pradesh, Gorakhpur
BAL KRISHNA, Bahujan Samaj Party, Accepted, Uttar Pradesh, Ghosi
KANHU CHARAN TUDU, Independent, Accepted, Odisha, Mayurbhanj
SUDHAKAR MISHRA, Independent, Accepted, Bihar, Buxar
SUDHAKAR MISHRA, Independent, Accepted, Bihar, Buxar
SATYENDRA, Bahujan Samaj Party, Accepted, Uttar Pradesh, Chandauli
SATYENDRA, Bahujan Samaj Party, Accepted, Uttar Pradesh, Chandauli
MUKTINATH SINGH, Janta Samta Party, Accepted, Uttar Pradesh, Deoria
MUKTINATH SINGH, Janta Samta Party, Accepted, Uttar Pradesh, Deoria
RAJA RAM SINGH, Communist Party of India  (Marxist-Leninist)  (Liberation), Accepted, Bihar, Karakat
RAJA RAM SINGH, Communist Party of India  (Marxist-Leninist)  (Liberation), Accepted, Bihar, Karakat
DR PRAKASH CHAND BHARDWAJ, Bahujan Samaj Party, Accepted, Himachal Pradesh, MANDI
R K SINGH, Bharatiya Janata Party, Accepted, Bihar, Arrah
SATYDEV YADAV, Independent, Accepted, Uttar Pradesh, Ghazipur
ROHIT KUMAR, Independent, Accepted, Punjab, Hoshiarpur
SADHAN GHOSH, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Barasat
MANMOHAN SINGH, Rashtrawadi Janlok Party (Satya), Accepted, Bihar, Arrah
SURENDER SINGH, Independent, Accepted, Bihar, Nalanda
ARWINDER SINGH, Independent, Accepted, Punjab, Firozpur
SUMITRA DEVI, Jagrook Janta Party, Accepted, Bihar, Arrah
ANGREJ SINGH, Independent, Accepted, Punjab, Firozpur
ANGREJ SINGH, Independent, Accepted, Punjab, Firozpur
MANPREET KAUR, Independent, Accepted, Punjab, Firozpur
SMRITIKANA HAOLADAR, Bahujan Samaj Party, Accepted, West Bengal, Barasat
MANPREET KAUR, Independent, Accepted, Punjab, Firozpur
RAMESH CHAND SARTHI, Independent, Accepted, Himachal Pradesh, HAMIRPUR
VIJAY, Bharatiya Janata Party, Accepted, Uttar Pradesh, Kushi Nagar
VIJAY, Bharatiya Janata Party, Accepted, Uttar Pradesh, Kushi Nagar
LOBIN HEMBRAM, Independent, Accepted, Jharkhand, Rajmahal
DR. RAJASHREE MALLICK, Biju Janata Dal, Accepted, Odisha, Jagatsinghpur
PRATIMA MONDAL, All India Trinamool Congress, Accepted, West Bengal, Joynagar
PRATIMA MONDAL, All India Trinamool Congress, Accepted, West Bengal, Joynagar
SHANKAR DEB MONDAL, Bahujan Samaj Party, Accepted, West Bengal, Joynagar
ANAND MISHRA, Independent, Accepted, Bihar, Buxar
DAUD ALI GAZI, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Basirhat
SUBASH CHANDRA MALLIK, Socialist Unity Centre Of India (COMMUNIST), Accepted, Odisha, Jajpur
SUBASH CHANDRA MALLIK, Socialist Unity Centre Of India (COMMUNIST), Accepted, Odisha, Jajpur
NIRANJAN  NASKAR, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Joynagar
Sk Nurul Islam, All India Trinamool Congress, Accepted, West Bengal, Basirhat
Sk Nurul Islam, All India Trinamool Congress, Accepted, West Bengal, Basirhat
DADAN YADAV, Independent, Accepted, Bihar, Buxar
DADAN YADAV, Independent, Accepted, Bihar, Buxar
BANAMALI PANDA, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Dum dum
BANAMALI PANDA, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Dum dum
MAHESH  SAINI, Himachal Janta Party, Accepted, Himachal Pradesh, MANDI
HARI PADA BISWAS, Mulnibasi Party of India, Accepted, West Bengal, Dum dum
ASHUTOSH MAHANT, Independent, Accepted, Himachal Pradesh, MANDI
HARI PADA BISWAS, Mulnibasi Party of India, Accepted, West Bengal, Dum dum
POONAM MOR, Independent, Accepted, Haryana, HISAR
NADEEM ASHRAF, Bahujan Samaj Party, Accepted, Uttar Pradesh, Sant Kabir Nagar
NADEEM ASHRAF, Bahujan Samaj Party, Accepted, Uttar Pradesh, Sant Kabir Nagar
KULBIR, Independent, Accepted, Haryana, HISAR
AJIT SINGH, Independent, Accepted, Haryana, HISAR
SURENDER KUMAR, Independent, Accepted, Haryana, HISAR
MANOJ KUMAR, Independent, Accepted, NCT OF Delhi, North-East Delhi
SUNITA, Navarang Congress Party, Accepted, NCT OF Delhi, North-East Delhi
PARJAPATI RAKESH DHUWARIA, Independent, Accepted, Haryana, HISAR
SANJEEV KUMAR PANDEY, Bharatiya Liberal Party, Accepted, NCT OF Delhi, North-East Delhi
JAGAT SINGH, Vikas India Party, Accepted, Haryana, HISAR
VIJAY SINGH, Independent, Accepted, Haryana, HISAR
RAJENDER KUMAR, Independent, Accepted, Haryana, HISAR
SURENDER, Independent, Accepted, Haryana, HISAR
RAVI KIRAN THILAK THATIKONDA, Independent, Accepted, NCT OF Delhi, North-East Delhi
RAVI KIRAN THILAK THATIKONDA, Independent, Accepted, NCT OF Delhi, North-East Delhi
RAMKUMAR MONDAL, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Diamond harbour
KRISHAN DEV, Punjab National Party, Accepted, Punjab, Sangrur
ZUBAIR RABBANI, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Kolkata Dakshin
ZUBAIR RABBANI, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Kolkata Dakshin
DIMPLE, Independent, Accepted, Punjab, Patiala
KAUSHLENDRA KUMAR, Janata Dal  (United), Accepted, Bihar, Nalanda
KAUSHLENDRA KUMAR, Janata Dal  (United), Accepted, Bihar, Nalanda
JAGDISH KUMAR, Independent, Accepted, Punjab, Patiala
CAPTAIN BAHADUR SINGH, Independent, Accepted, Punjab, Faridkot
KAUSHLENDRA KUMAR, Janata Dal  (United), Accepted, Bihar, Nalanda
KAUSHLENDRA KUMAR, Janata Dal  (United), Accepted, Bihar, Nalanda
DR. BIPLAB CHANDRA, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Kolkata Uttar
KOLISETTY SHIVA KUMAR, Yuga Thulasi Party, Accepted, Uttar Pradesh, Varanasi
DR. BIPLAB CHANDRA, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Kolkata Uttar
KALPANA NASKAR DATTA, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Jadavpur
DASWINDER KAUR, Communist Party of India, Accepted, Punjab, Amritsar
KALPANA NASKAR DATTA, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Jadavpur
SANDIP NATH, Bahujan Samaj Party, Accepted, West Bengal, Jadavpur
ANIL KUMAR, Bahujan Samaj Party, Accepted, Himachal Pradesh, SHIMLA
DEVINDER RAJPUT, Bharatheeya Jawan Kisan Party, Accepted, Punjab, Patiala
MINTA DEVI, Independent, Accepted, Bihar, Jahanabad
CHAIN SINGH BAINKA, Aas Punjab Party, Accepted, Punjab, Khadoor Sahib
KOLISETTY SHIVA KUMAR, Yuga Thulasi Party, Accepted, Uttar Pradesh, Varanasi
DASARATHI PAIK, Bahujan Samaj Party, Accepted, West Bengal, Diamond harbour
RAMKUMAR MONDAL, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Diamond harbour
RAMKUMAR MONDAL, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Diamond harbour
TARSEM MASIH, Independent, Accepted, Punjab, Gurdaspur
KUNAL KUMAR, Hamara Sahara Party, Accepted, Bihar, Patliputra
MD AHAMADULLAH KHAN, Independent, Accepted, West Bengal, Kanthi
KULDEEP KUMAR, Independent, Accepted, NCT OF Delhi, East Delhi
UPENDRA RAM, Bahujan Samaj Party, Accepted, Bihar, Paschim Champaran
UMA SHANKAR TIWARI, Bhartiya Mahasangh Party, Accepted, NCT OF Delhi, West Delhi
MALIK RAM, Independent, Accepted, Uttar Pradesh, Shrawasti
PURUSHOTTAM PATRA, Kosal Janata Dal, Accepted, Odisha, Sambalpur
ADV. K.T. PALUSKAR, Prabuddha Republican Party, Accepted, NCT OF Delhi, North-East Delhi
MOHD HAMID, Bharatheeya Jawan Kisan Party, Accepted, NCT OF Delhi, Chandni Chowk
ABUL KALAM AZAD, Bahujan Samaj Party, Accepted, NCT OF Delhi, Chandni Chowk
SUNIL KUMAR MISHRA, Independent, Accepted, Uttar Pradesh, Pratapgarh
DOMAN CHANDRA BHAKAT, Bhagidari Party(P), Accepted, Jharkhand, Jamshedpur
SUBHASH KUMAR THAKUR, Sarv Samaj Party, Accepted, Jharkhand, Giridih
PRAFULLA KUMAR NAIK, Bahujan Samaj Party, Accepted, Odisha, Dhenkanal
UMESH CHAUHAN, Rashtriya Rashtrawadi Party, Accepted, NCT OF Delhi, West Delhi
KULDEEP KUMAR (MONU), Aam Aadmi Party, Accepted, NCT OF Delhi, East Delhi
JITENDRA RAM, Bahujan Mukti Party, Accepted, Bihar, Gopalganj
AJIT PRASAD MAHATA, Independent, Accepted, West Bengal, Purulia
KULDEEP KUMAR (MONU), Aam Aadmi Party, Accepted, NCT OF Delhi, East Delhi
PRAVEEN GAUTAM, Navarang Congress Party, Accepted, NCT OF Delhi, North-West Delhi
TRIDEV KR MAHTO, Independent, Accepted, Jharkhand, Dhanbad
SATISH DHULL, Bharatiya Asha Party, Accepted, Haryana, KURUKSHETRA
KULDEEP KUMAR (MONU), Aam Aadmi Party, Accepted, NCT OF Delhi, East Delhi
JOYDEV DHANK, Bahujan Samaj Party, Accepted, West Bengal, Bishnupur
MAHESH KUMAR PRAJAPATI, Samajhdar Party, Accepted, Uttar Pradesh, Pratapgarh
RANJANA GIRI, Republican Party of India (A), Accepted, Jharkhand, Ranchi
KANHAIYA KUMAR, Indian National Congress, Accepted, NCT OF Delhi, North-East Delhi
GURPREET SINGH, Indian National Lok Dal, Accepted, Haryana, AMBALA
VIJAY KUMAR SAHANI, Rashtriya Jansambhavna Party, Accepted, Bihar, Purvi Champaran
NAMI RAM, Independent, Accepted, Bihar, Gopalganj
NARESH KASHYAP, Aam Aadmi Parivartan Party, Accepted, Haryana, SONIPAT
SHRIPATI MAURYA, Independent, Accepted, Uttar Pradesh, Jaunpur
KANHAIYA KUMAR, Indian National Congress, Accepted, NCT OF Delhi, North-East Delhi
VISHNU, Independent, Accepted, Haryana, GURGAON
RAKESH BAG, Bharatiya Nyay-Adhikar Raksha Party, Accepted, Odisha, Sambalpur
PARAMHANS SINGH, Independent, Accepted, Bihar, Vaishali
RAAJ KUMAR ANAND, Bahujan Samaj Party, Accepted, NCT OF Delhi, New Delhi
PRABEEN CHANDRA MAHATO, Independent, Accepted, Jharkhand, Ranchi
ANIL RAM, Independent, Accepted, Bihar, Gopalganj
RAVI, Independent, Accepted, NCT OF Delhi, West Delhi
LAXMIKANT PAPPU NISHAD, Samajwadi Party, Accepted, Uttar Pradesh, Sant Kabir Nagar
BHARAT RAM, Pachchasi Parivartan Samaj Party, Accepted, Uttar Pradesh, Jaunpur
RAMBHUAL NISHAD, Samajwadi Party, Accepted, Uttar Pradesh, Sultanpur
KAILAS CHANDRA PRADHAN, Independent, Accepted, Odisha, Dhenkanal
JUNE MALIAH, All India Trinamool Congress, Accepted, West Bengal, Medinipur
PREETI, Saman Adhikar Party, Accepted, NCT OF Delhi, North-West Delhi
PARAMHANS SINGH, Independent, Accepted, Bihar, Vaishali
BISHAMBAR KUMAR, Independent, Accepted, Haryana, ROHTAK
RAMBHUAL NISHAD, Samajwadi Party, Accepted, Uttar Pradesh, Sultanpur
LAXMIKANT PAPPU NISHAD, Samajwadi Party, Accepted, Uttar Pradesh, Sant Kabir Nagar
KUSHESHWAR  BHAGAT, Independent, Accepted, Haryana, GURGAON
RISHI PATEL, Apna Dal (Kamerawadi), Accepted, Uttar Pradesh, Pratapgarh
LAXMIKANT PAPPU NISHAD, Samajwadi Party, Accepted, Uttar Pradesh, Sant Kabir Nagar
JUNE MALIAH, All India Trinamool Congress, Accepted, West Bengal, Medinipur
BIRENDRA NATH MANJHI, Abua Jharkhand Party, Accepted, Jharkhand, Ranchi
AJAY KUMAR, Independent, Accepted, Haryana, GURGAON
MANGAT RAM, Independent, Accepted, Haryana, KURUKSHETRA
RAJ BABBAR, Indian National Congress, Accepted, Haryana, GURGAON
PRAMOD BHAI PATEL URF P K, Sardar Patel Siddhant Party, Accepted, Uttar Pradesh, Phulpur
ANAND MUKHI, Independent, Accepted, Jharkhand, Jamshedpur
RAJ BABBAR, Indian National Congress, Accepted, Haryana, GURGAON
AKBAR ALI, Akhil Bhartiya Parivar Party, Accepted, Jharkhand, Dhanbad
RAKESH, Samata Party, Accepted, Haryana, SONIPAT
SHAH ALAM, Apna Dal (Kamerawadi), Accepted, Uttar Pradesh, Jaunpur
ASHOK KATARIA, Samst Samaj Party, Accepted, Haryana, KARNAL
SAKET MISRA, Bharatiya Janata Party, Accepted, Uttar Pradesh, Shrawasti
AKBAR ALI, Akhil Bhartiya Parivar Party, Accepted, Jharkhand, Dhanbad
RAMDIYA, Independent, Accepted, Haryana, KURUKSHETRA
ADVOCATE ADITYA DHANKHAR, Super Power India Party, Accepted, Haryana, ROHTAK
SWAPNA RANI JAMES, Utkal Samaj, Accepted, Odisha, Dhenkanal
SHIV PAL PATEL, Independent, Accepted, Uttar Pradesh, Pratapgarh
CHANDRASHEKHAR SINGH KUSHWAHA, Independent, Accepted, NCT OF Delhi, South Delhi
AMAR NATH SINGH MAURYA, Samajwadi Party, Accepted, Uttar Pradesh, Phulpur
DILIP SINGH, Independent, Accepted, NCT OF Delhi, New Delhi
JAVED AHMAD SIDDIQUI, Independent, Accepted, Uttar Pradesh, Ambedkar Nagar
SHANTIRAM MAHATO, All India Trinamool Congress, Accepted, West Bengal, Purulia
AMAR NATH SINGH MAURYA, Samajwadi Party, Accepted, Uttar Pradesh, Phulpur
SAKET MISRA, Bharatiya Janata Party, Accepted, Uttar Pradesh, Shrawasti
LALJI VERMA, Samajwadi Party, Accepted, Uttar Pradesh, Ambedkar Nagar
LALJI VERMA, Samajwadi Party, Accepted, Uttar Pradesh, Ambedkar Nagar
MAHIMA PATEL, Apna Dal (Kamerawadi), Accepted, Uttar Pradesh, Phulpur
RAM SHIROMANI VERMA, Samajwadi Party, Accepted, Uttar Pradesh, Shrawasti
SADHU CHARAN PAUL, Independent, Accepted, Jharkhand, Jamshedpur
YOGESH BOORA, Independent, Accepted, Haryana, HISAR
MUINUDDIN AHAMAD KHAN URF HAZI DADDAN KHAN, Bahujan Samaj Party, Accepted, Uttar Pradesh, Shrawasti
KAMAL PRASAD, Bahujan Samaj Party, Accepted, Jharkhand, Giridih
AAKASH KUMAR SINGH, Indian National Congress, Accepted, Bihar, Maharajganj
SATYVANT PRATAP SINGH, Independent, Accepted, Uttar Pradesh, Sant Kabir Nagar
KAMLESH KUMAR JHA, Independent, Accepted, NCT OF Delhi, South Delhi
ER VISHAL KUMAR, Independent, Accepted, Haryana, KURUKSHETRA
SATYVANT PRATAP SINGH, Independent, Accepted, Uttar Pradesh, Sant Kabir Nagar
RAMESH KHATAK, Jannayak Janta Party, Accepted, Haryana, SIRSA
HARISHANKAR, Bahujan Samaj Party, Accepted, Uttar Pradesh, Bhadohi
SANJEEV KUMAR, Public Political Party, Accepted, NCT OF Delhi, North-East Delhi
SAHI RAM, Aam Aadmi Party, Accepted, NCT OF Delhi, South Delhi
QAMAR HAYAT, Bahujan Samaj Party, Accepted, Uttar Pradesh, Ambedkar Nagar
DINESH KUMAR, Independent, Accepted, Haryana, HISAR
AAKASH KUMAR SINGH, Indian National Congress, Accepted, Bihar, Maharajganj
SARFARAZ AHMAD, Independent, Accepted, Uttar Pradesh, Jaunpur
NEELAM SINGH, Moolniwasi Samaj Party, Accepted, Uttar Pradesh, Ambedkar Nagar
KANHAIYA KUMAR, Indian National Congress, Accepted, NCT OF Delhi, North-East Delhi
MATHURA PRASAD MAHATO, Jharkhand Mukti Morcha, Accepted, Jharkhand, Giridih
KRISHNA DEV, Rashtra Uday Party, Accepted, Uttar Pradesh, Bhadohi
VIJAY SINGH, Sanatan Sanskriti Raksha Dal, Accepted, Uttar Pradesh, Pratapgarh
USHA SINGH, Independent, Accepted, Jharkhand, Giridih
A. GOPALA KRISHNA, Navarang Congress Party, Accepted, NCT OF Delhi, East Delhi
MATHURA PRASAD MAHATO, Jharkhand Mukti Morcha, Accepted, Jharkhand, Giridih
VIVEK KUMAR, Bhartiya Shakti Chetna Party, Accepted, Uttar Pradesh, Ambedkar Nagar
KRISHNA KUMAR MAURYA, Samyak Party, Accepted, Uttar Pradesh, Shrawasti
AAKASH KUMAR SINGH, Indian National Congress, Accepted, Bihar, Maharajganj
KANHAIYA KUMAR, Indian National Congress, Accepted, NCT OF Delhi, North-East Delhi
KANHI LAL, Swatantra Jantaraj Party, Accepted, NCT OF Delhi, North-East Delhi
BALINDAR, Janta Kranti Party (Rashtravadi), Accepted, Uttar Pradesh, Lalganj
SORAB KHAN, Indian National Lok Dal, Accepted, Haryana, GURGAON
PARVEEN KUMAR, Independent, Accepted, Haryana, ROHTAK
UJJWAL RAMAN SINGH, Indian National Congress, Accepted, Uttar Pradesh, Allahabad
VANDNA GULIYA, Right to Recall Party, Accepted, Haryana, GURGAON
DILIP KUMAR MISHRA, Prabal Bharat Party, Accepted, Bihar, Sheohar
