Candidate,Party,Status,State,Constituency
SUKHBIR SINGH BABBAL BHATTI, Independent, Accepted, Punjab, Faridkot
KINKAR KANTI ROY, Independent, Accepted, West Bengal, Basirhat
IQBAL CHAND, Independent, Accepted, Punjab, Jalandhar
RAMSAMUJH, Bahujan Samaj Party, Accepted, Uttar Pradesh, Bansgaon
ANTA ALOK BASKEY, AJSU Party, Accepted, Odisha, Mayurbhanj
GURPREET SINGH, Independent, Accepted, Punjab, Khadoor Sahib
MOHD ISMAIL ANSARI, Aawami Pichhada Party, Accepted, Uttar Pradesh, Ghosi
ARUN KUMAR, Bahujan Samaj Party, Accepted, Bihar, Jahanabad
DARSHAN SINGH, Nationalist Justice Party, Accepted, Punjab, Ludhiana
ARUN KUMAR, Bahujan Samaj Party, Accepted, Bihar, Jahanabad
GURCHARAN SINGH, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Firozpur
VINOD KUMAR, Independent, Accepted, Chandigarh, Chandigarh
RAMSAMUJH, Bahujan Samaj Party, Accepted, Uttar Pradesh, Bansgaon
KUSUM RANI, Independent, Accepted, Punjab, Gurdaspur
TARACHAND SHEELA, Loktantrik Lok Rajyam Party, Accepted, Punjab, Jalandhar
DINESH KUMAR YADAV, Independent, Accepted, Uttar Pradesh, Varanasi
RABINDRA NATH SINGH, Bharatiya Nyay-Adhikar Raksha Party, Accepted, Odisha, Mayurbhanj
SURYA BALI PRASAD, Aazad Samaj Party (Kanshi Ram), Accepted, Uttar Pradesh, Ballia
GURBARN SINGH, Independent, Accepted, Punjab, Bathinda
PAWAN KUMAR TINU, Aam Aadmi Party, Accepted, Punjab, Jalandhar
VIKRAMJIT SINGH, Independent, Accepted, Punjab, Khadoor Sahib
MD. SHAKIL WARSI, Independent, Accepted, West Bengal, Kolkata Dakshin
DINESH KUMAR BHATI, Independent, Accepted, Himachal Pradesh, MANDI
PRIYAMA DAS, Independent, Accepted, West Bengal, Basirhat
MUNNA KUMAR, Samajwadi Lok Parishad, Accepted, Bihar, Nalanda
PAWAN KUMAR TINU, Aam Aadmi Party, Accepted, Punjab, Jalandhar
SATYENDRA, Bahujan Samaj Party, Accepted, Uttar Pradesh, Chandauli
RAFIK ANSARI, Independent, Accepted, Uttar Pradesh, Deoria
ANISUR RAHAMAN SK, Independent, Accepted, West Bengal, Diamond harbour
MURLI DHAR, Independent, Accepted, Uttar Pradesh, Bansgaon
SATYENDRA, Bahujan Samaj Party, Accepted, Uttar Pradesh, Chandauli
JITENDRA KUMAR, Independent, Accepted, Uttar Pradesh, Robertsganj
PARWINDER SINGH, Independent, Accepted, Punjab, Bathinda
NAVEEN KUMAR SHARMA, Sanjhi Virasat Party, Accepted, Punjab, Khadoor Sahib
AJIT MARANDI, Rashtriya Jansambhavna Party, Accepted, Jharkhand, Rajmahal
AJIT MARANDI, Rashtriya Jansambhavna Party, Accepted, Jharkhand, Rajmahal
KAJAL NISHAD, Samajwadi Party, Accepted, Uttar Pradesh, Gorakhpur
SANDESH, Bahujan Samaj Party, Accepted, Uttar Pradesh, Deoria
KANGNA RANAUT, Bharatiya Janata Party, Accepted, Himachal Pradesh, MANDI
RAJENDRA CHAUDHARY, Independent, Accepted, Uttar Pradesh, Bansgaon
ANAND KUMAR YADAV, Bharatheeya Jawan Kisan Party, Accepted, Uttar Pradesh, Gorakhpur
SANDESH, Bahujan Samaj Party, Accepted, Uttar Pradesh, Deoria
RINKI SINGH, Apna Dal (Soneylal), Accepted, Uttar Pradesh, Robertsganj
MUNILAL YADAV, Independent, Accepted, Bihar, Jahanabad
UMESH KUMAR, Independent, Accepted, Punjab, Firozpur
KANGNA RANAUT, Bharatiya Janata Party, Accepted, Himachal Pradesh, MANDI
RINKI SINGH, Apna Dal (Soneylal), Accepted, Uttar Pradesh, Robertsganj
GOPAL SINGH, Azad Adhikar Sena, Accepted, Uttar Pradesh, Ghosi
KANGNA RANAUT, Bharatiya Janata Party, Accepted, Himachal Pradesh, MANDI
DIPENDU HAZRA, Independent, Accepted, West Bengal, Kolkata Dakshin
KANGNA RANAUT, Bharatiya Janata Party, Accepted, Himachal Pradesh, MANDI
RINKI SINGH, Apna Dal (Soneylal), Accepted, Uttar Pradesh, Robertsganj
RAJEEV KUMAR RAI, Samajwadi Party, Accepted, Uttar Pradesh, Ghosi
ANKIT SHAH, Bharatiya Yuva Jan Ekta Party, Accepted, Uttar Pradesh, Gorakhpur
PRAKASH KUMAR, Independent, Accepted, Uttar Pradesh, Ballia
ANKUSH JINDAL, Independent, Accepted, Punjab, Bathinda
BALWANT SINGH, Nationalist Justice Party, Accepted, Punjab, Firozpur
KULWANT KAUR, Sanjhi Virasat Party, Accepted, Punjab, Faridkot
RAJEEV KUMAR RAI, Samajwadi Party, Accepted, Uttar Pradesh, Ghosi
CHANDESHWAR PRASAD, Independent, Accepted, Bihar, Jahanabad
SHEKH IMANUR RAHMAN, Independent, Accepted, West Bengal, Dum dum
SINDHUPADA BAIRAGI, Independent, Accepted, West Bengal, Joynagar
KULDIP RAI, Independent, Accepted, Chandigarh, Chandigarh
DILDAR MASIH, Shiromani Lok Dal Party, Accepted, Punjab, Amritsar
PRAKASH KUMAR, Independent, Accepted, Uttar Pradesh, Ballia
MRIDUL OJHA, Independent, Accepted, West Bengal, Kolkata Dakshin
RAMESH KUMAR, Bharatheeya Jawan Kisan Party, Accepted, Punjab, Gurdaspur
SUNIL KUMAR DUBEY, Bhartiya Jagaran Party, Accepted, Bihar, Buxar
SURINDER KUMAR BANSAL, Independent, Accepted, Punjab, Firozpur
RAVNEET SINGH, Bharatiya Janata Party, Accepted, Punjab, Ludhiana
ANAND MISHRA, Independent, Accepted, Bihar, Buxar
SUKALU, Rakshak Jan Morcha Party, Accepted, Uttar Pradesh, Robertsganj
NIRMAL SINGH RAJEANA, Independent, Accepted, Punjab, Faridkot
HIRAK SINHA, Independent, Accepted, West Bengal, Dum dum
SURJIT SINGH, Independent, Accepted, Punjab, Khadoor Sahib
RANJANA, Independent, Accepted, Uttar Pradesh, Ballia
SAHIL MONGA, Independent, Accepted, Punjab, Firozpur
RAJIV KUMAR, Jan Sewa Driver Party, Accepted, Punjab, Ludhiana
GURPREET SINGH RATTAN, Republican Party of India (Athawale), Accepted, Punjab, Amritsar
SIMRANPREET SINGH, Independent, Accepted, Punjab, Amritsar
SUMESHWAR, Independent, Accepted, Uttar Pradesh, Ballia
SUSANTA MONDAL, Independent, Accepted, West Bengal, Kolkata Dakshin
RAJIV KUMAR SINGH, Independent, Accepted, Uttar Pradesh, Ghosi
AVADHESH VERMA, Bahujan Mukti Party, Accepted, Uttar Pradesh, Ballia
RAVNEET SINGH, Bharatiya Janata Party, Accepted, Punjab, Ludhiana
BALWINDER SINGH, Republican Party of India (Athawale), Accepted, Punjab, Firozpur
SANTOSH KUMAR, Bahujan Mukti Party, Accepted, Uttar Pradesh, Chandauli
KISHOR KUMAR, Independent, Accepted, Chandigarh, Chandigarh
DADAN YADAV, Independent, Accepted, Bihar, Buxar
DADAN YADAV, Independent, Accepted, Bihar, Buxar
